Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture,AGEC,,,,,,,,,,,,
ALEC,,,,1,,1,1,1,,,,,2
BCBP,,1,1,1,5,8,,,1,1,,,9
CLAG,,,,,,,,,,,,,
ENTO,,,,4,2,6,,,,,,,6
NFSC,,,,,,,,,,,,,
PLPM,,1,1,4,3,9,,,,,,,9
POSC,,,,,,,,,,,,,
RPTS,,,,,1,1,,,,,,,1
SCSC,,,,,,,,,,,,,
WFSC,,,,,,,,,1,1,,,1
Subtotal,,2,2,10,11,25,1,1,2,2,,,28
Architecture,ARCH,,,,,,,,1,1,,,1
CLAR,,,,,,,,,,,,,
COSC,,,,,,,1,1,,,,,1
LAUP,,,,,,,,,,,,,
VIZA,,,,,,,1,1,,,,,1
Subtotal,,,,,,,2,2,1,1,,,3
Business,ACCT,,,,,,3,3,2,2,,,5
Admin,CLBA,,,1,,1,4,4,,,,,5
FINC,,,,,1,1,1,1,,,,,2
MKTG,,,,,,,1,1,,,,,1
Subtotal,,,,1,1,2,9,9,2,2,,,13
Education,CLED,,,,,,,,,,,,
EAHR,,,,,,,,,1,1,,,1
EPSY,,,,,,,1,1,1,1,,,2
HLKN,,,,,,,2,2,,,,,2
TLAC,,,,1,,1,1,1,1,1,,,3
Subtotal,,,,1,,1,4,4,3,3,,,8
Engineering,AERO,2,2,3,5,12,,,,,,,12
BMEN,,1,,2,3,6,1,1,,,,,7
CHEN,,1,,,2,3,1,1,,,,,4
CLEN,,,,,,,,,,,,,
CSCE,,,,3,2,5,1,1,1,1,,,7
CVEN,,,,1,1,2,,,1,1,,,3
ECEN,,1,2,4,3,10,,,1,1,,,11
ETID,,,,1,,1,,,,,,,1
ISEN,,,1,1,,2,,,,,,,2
MEEN,,,,1,1,2,1,1,,,,,3
MSEN,,,,,,,,,,,,,
NUEN,,,,,1,1,,,,,,,1
PETE,,,,,1,1,3,3,,,,,4
Subtotal,,5,5,16,19,45,7,7,3,3,,,55
