Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Architecture,ARCH,,,,,,,,,,,,
COMG,,,,,,,1,1,,,,,1
COSC,,,,2,3,5,,,,,,,5
COSL,,,1,,,1,,,,,,,1
URPL,,,,,,,,,,,,,
URPN,,1,,,,1,,,,,,,1
URSC,,,,,,,,,,,,,
USAR,,1,,1,1,3,,,,,,,3
VISL,,,,1,,1,,,,,,,1
VIST,,,,,,,,,,,,,
Subtotal,,2,1,4,4,11,1,1,,,,,12
Business,ACCT,,,1,4,5,3,3,2,2,,,10
Admin,BUAD,4,5,2,,11,4,4,,,,,15
BUAG,,,,,,,,,,,,,
FINC,,,,1,1,2,,,,,,,2
INFO,,,,2,2,4,,,,,,,4
MGMT,,,,4,1,5,2,2,1,1,,,8
MISY,,,,,,,1,1,,,,,1
MKTG,,,,,2,2,1,1,,,,,3
MLER,,,,,,,,,,,,,
PMBA,,,,,,,1,1,,,,,1
USBU,,,1,2,3,6,,,,,,,6
Subtotal,,4,6,12,13,35,12,12,3,3,,,50
Education,ATTR,,,,,,6,6,,,,,6
BIED,,,,,,,,,,,,,
CPSY,,,,,,,,,6,6,,,6
EDAD,,,,,,,1,1,22,22,,,23
EDCI,,,,,,,10,10,23,23,,,33
EDHL,,1,1,7,3,12,,,,,,,12
EDIS,,,2,,,2,,,,,,,2
EDKI,,6,1,1,1,9,,,,,,,9
EDSM,,6,4,6,,16,,,,,,,16
EHRD,,,,,,,4,4,7,7,,,11
EPSY,,,,,,,2,2,3,3,,,5
GENE,,,,,,,,,,,,,
HEED,,,,,,,3,3,4,4,,,7
HLTH,,,,1,7,8,,,,,,,8
HRDL,,,1,,1,2,,,,,,,2
HRDV,,,,,4,4,,,,,,,4
INST,,,,1,5,6,,,,,,,6
KINE,,1,,,3,4,1,1,3,3,,,8
SPMT,,2,,,11,13,5,5,,,,,18
SPSY,,,,,,,,,4,4,,,4
TCMG,,,,,5,5,,,,,,,5
TCML,,,1,1,,2,,,,,,,2
USEH,,,,,,,,,,,,,
Subtotal,,16,10,17,40,83,32,32,72,72,,,187
