Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Engineering        AERO,,1,2,4,7,,,,,,,7
BMEN,,4,1,5,10,,,6,6,,,16
CHEN,1,1,7,12,21,,,2,2,,,23
CLEN,,,,,,,,2,2,,,2
CSCE,1,3,4,8,16,1,1,2,2,,,19
CVEN,,1,4,7,12,3,3,1,1,,,16
ECEN,1,8,14,19,42,5,5,5,5,,,52
ETID,,2,2,5,9,,,,,,,9
ISEN,,,5,7,12,5,5,1,1,,,18
MEEN,,1,3,8,12,2,2,4,4,,,18
MSEN,,,,,,1,1,,,,,1
NUEN,1,2,1,2,6,,,1,1,,,7
PETE,,1,3,4,8,12,12,1,1,,,21
Subtotal,4,24,46,81,155,29,29,25,25,,,209
G. Bush School  BUSH,,,,,,3,3,,,,,3
of Govt                 Subtotal,,,,,,3,3,,,,,3
Geosciences        ATMO,,,,,,,,,,,,
CLGE,,,1,1,2,,,,,,,2
GEOG,,,,2,2,1,1,,,,,3
GEPL,,,2,1,3,,,1,1,,,4
OCNG,,,,,,,,,,,,
Subtotal,,,3,4,7,1,1,1,1,,,9
Liberal Arts        ANTH,,1,1,,2,,,1,1,,,3
CLLA,,,1,1,2,,,,,,,2
COMM,,,,4,4,,,1,1,,,5
ECON,,1,7,11,19,2,2,1,1,,,22
ENGL,,1,,2,3,,,,,,,3
HISP,,,,,,,,,,,,
HIST,,3,1,1,5,,,,,,,5
INTS,,1,4,5,10,,,,,,,10
PHUM,,1,1,1,3,,,,,,,3
POLS,,4,5,4,13,,,1,1,,,14
PRFM,,,,1,1,,,,,,,1
PSYC,1,2,4,10,17,,,7,7,,,24
SOCI,,1,1,2,4,,,,,,,4
Subtotal,1,15,25,42,83,2,2,11,11,,,96
