Summer 2013,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excluding Black (NEW),International,Unknown or Not Reported,Total
Architecture,ARCH,23,,1,,10,,,22,1,57
COMG,,12,,1,1,3,,,27,1,45
COSC,,157,1,,5,33,,4,1,,201
COSL,,64,,1,1,18,,2,,,86
ENDL,,24,,1,,12,,,1,,38
ENDS,,22,,1,,5,,,1,,29
LAND,,14,,1,,3,,,14,,32
LANL,,5,,,,,,,,,5
LDEV,,1,,,,1,,,2,,4
LPDV,,4,,,,1,,,5,,10
URPL,,6,,,,1,,,5,,12
URPN,,2,,,1,2,1,1,,,7
URSC,,17,,1,,1,,,5,,24
USAR,,24,,2,3,12,,,1,,42
VISL,,19,,3,1,6,,,,,29
VIST,,40,,5,,4,,1,7,1,58
Subtotal,,434,1,17,12,112,1,8,91,3,679
Business Admin,ACCT,418,,25,10,79,1,9,12,5,559
AGBU,,4,,,,,,,,,4
BHNR,,29,,3,,4,,1,,,37
BUAD,,186,,14,15,27,,7,26,3,278
BUAG,,1,,,,2,,,,,3
FINC,,223,1,19,2,33,,6,19,1,304
INFO,,87,2,11,4,29,,3,9,,145
MGMT,,101,,6,8,19,,1,4,,139
MISY,,28,,1,1,2,,1,71,,104
MKTG,,168,,3,3,31,,2,9,1,217
MLER,,25,,,,2,,,,1,28
PMBA,,25,,8,1,,,,,2,36
USBU,,59,,3,6,11,,2,,,81
Subtotal,,"1,354",3,93,50,239,1,32,150,13,"1,935"
Education,ATTR,13,,,6,1,,,,1,21
BIED,,2,,,,6,,,,,8
CPSY,,11,,2,6,10,,1,,,30
EDAD,,54,,1,23,27,,,,1,106
EDCI,,201,2,6,33,21,,7,20,2,292
EDHL,,139,1,12,12,26,,7,,,197
EDIS,,76,,,2,19,,2,1,1,101
EDKI,,142,1,5,9,30,,3,2,,192
EDSM,,79,,1,16,12,,3,2,,113
EHRD,,53,,6,11,15,,1,19,,105
EPSY,,41,,3,5,11,,1,23,1,85
GENE,,1,,,,,,,,,1
HEED,,23,,2,7,9,,2,8,,51
HLTH,,122,,3,8,21,,3,1,,158
HRDL,,34,,3,2,10,,1,,,50
HRDV,,67,1,2,4,17,,2,1,,94
INST,,219,,,6,38,,4,,,267
KINE,,132,,5,8,33,,11,16,,205
NUTR,,1,,,,,,,,,1
SPED,,17,,1,,1,,,,1,20
SPMT,,109,,2,18,26,,2,4,1,162
SPSY,,18,,3,4,7,,3,2,,37
TCMG,,31,,2,5,13,,,,,51
TCML,,23,,2,2,11,,1,,,39
USEH,,2,,,,,,,,,2
Subtotal,,"1,610",5,61,187,364,,54,99,8,"2,388"
