Summer 2013,,Undergraduate,Masters,Doctoral,Professional,Total
Liberal Arts,ANTH,57,7,11,,75
CLSS,,2,,,,2
COMM,,202,3,16,,221
ECON,,244,60,24,,328
ENGL,,171,5,27,,203
FREN,,4,,,,4
GERM,,3,,,,3
HISP,,,,20,,20
HIST,,178,,15,,193
INTS,,259,,,,259
MODL,,1,1,,,2
MUSC,,8,,,,8
NRSC,,,,19,,19
PERF,,,2,,,2
PHIL,,36,2,12,,50
POLS,,210,,32,,242
PSYC,,416,7,75,,498
RUSS,,4,,,,4
SOCI,,165,7,30,,202
SPAN,,22,,,,22
TCMS,,51,,,,51
THAR,,12,,,,12
USLA,,8,,,,8
WGST,,8,,,,8
Subtotal,,"2,061",94,281,,"2,436"
Science,APHY,,,11,,11
APMS,,51,,,,51
BIOL,,211,3,33,,247
BMCB,,15,,,,15
BOTN,,,,1,,1
CHEM,,75,7,217,,299
GENE,,,1,1,,2
MATH,,46,27,95,,168
MBIO,,22,,10,,32
MSEN,,,,2,,2
NRSC,,,,1,,1
PHYS,,54,14,133,,201
STAT,,,55,34,,89
USSC,,8,,,,8
ZOOL,,11,,2,,13
Subtotal,,493,107,540,,"1,140"
Veterinary,BIMS,413,54,43,,510
Medicine,BIOT,,1,,,1
EPID,,,2,,,2
GENE,,,,11,,11
LAMD,,,1,,,1
STJR,,,5,,,5
TOXI,,,,13,,13
USVM,,1,,,,1
VPAT,,,,14,,14
VTMD,,,,,154,154
VTMI,,,,11,,11
VTPH,,,1,,,1
Subtotal,,414,64,92,154,724
General Studies,GEST,534,,,,534
TEAM,,175,,,,175
Subtotal,,709,,,,709
Other - Special,MARB,2,,,,2
Populations,MARM,,2,,,2
MARS,,1,,,,1
MART,,1,,,,1
MASE,,1,,,,1
MASL,,1,,,,1
MDSC,,,2,,,2
PHLT,,,14,,,14
REEP,,6,,,,6
Subtotal,,12,18,,,30
Total,,11842,2452,2990,154,17438
