Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Engineering       AERL,,1,1,,2,,,,,,,2
AERO,,,,,,,,1,1,,,1
BIOT,,,,,,1,1,,,,,1
BMEL,,,,,,,,,,,,
BMEN,,,,4,4,,,1,1,,,5
CECL,,1,2,1,4,,,,,,,4
CECN,,,1,,1,,,,,,,1
CEEL,1,,,,1,,,,,,,1
CEEN,,,,,,,,,,,,
CHEL,,,1,1,2,,,,,,,2
CHEN,,,1,3,4,2,2,1,1,,,7
CPSC,,,1,1,2,,,2,2,,,4
CPSL,,,1,1,2,,,,,,,2
CVEL,1,,,,1,,,,,,,1
CVEN,,,,2,2,,,,,,,2
ELEL,,,2,,2,,,,,,,2
ELEN,,,1,2,3,,,,,,,3
ENTC,,,1,2,3,,,,,,,3
ENTL,1,,,,1,,,,,,,1
HLPH,,,,,,1,1,,,,,1
IDIL,,,,,,,,,,,,
IDIS,,,1,4,5,,,,,,,5
INEL,,1,,,1,,,,,,,1
INEN,,,1,5,6,1,1,1,1,,,8
ITDE,,,,,,,,,,,,
MEEL,1,1,,1,3,,,,,,,3
MEEN,,,5,3,8,1,1,1,1,,,10
MSEN,,,,,,,,1,1,,,1
NUEL,,,,,,,,,,,,
NUEN,,,1,2,3,,,,,,,3
OCEL,,,,,,,,,,,,
OCEN,,,,,,1,1,,,,,1
PETE,,,2,3,5,4,4,2,2,,,11
PETL,,,1,,1,,,,,,,1
SENG,,,,,,1,1,,,,,1
USEN,,,,,,,,,,,,
Subtotal,4,4,23,35,66,12,12,10,10,,,88
G. Bush School CAIA,,,,,,3,3,,,,,3
of Govt                CHLS,,,,,,,,,,,,
CNPM,,,,,,2,2,,,,,2
PSAA,,,,,,,,,,,,
Subtotal,,,,,,5,5,,,,,5
Geosciences       ATMO,,,,,,2,2,,,,,2
ENGS,,,,,,,,,,,,
ENST,1,1,1,2,5,,,,,,,5
GEOG,,,,1,1,,,,,,,1
GEOL,,,,1,1,,,,,,,1
METR,,,,1,1,,,,,,,1
OCNG,,,,,,,,1,1,,,1
WMHS,,,,,,,,,,,,
Subtotal,1,1,1,5,8,2,2,1,1,,,11
