Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture          ABME,,,,,,,,,,,,
ALEC,,,,,,1,1,,,,,1
BESC,1,1,4,3,9,,,,,,,9
BICH,1,1,1,5,8,,,,,,,8
ENST,,,,,,,,,,,,
ENTO,,,4,2,6,,,,,,,6
GENE,,,,,,,,1,1,,,1
RPTS,,,,1,1,,,,,,,1
TOXI,,,,,,,,,,,,
USAL,,,1,,1,,,,,,,1
WFSC,,,,,,,,1,1,,,1
Subtotal,2,2,10,11,25,1,1,2,2,,,28
Architecture        ARCH,,,,,,,,1,1,,,1
COMG,,,,,,1,1,,,,,1
VISL,,,,,,,,,,,,
VIST,,,,,,1,1,,,,,1
Subtotal,,,,,,2,2,1,1,,,3
Business               ACCT,,,,,,3,3,2,2,,,5
Admin                   BUAD,,,1,,1,2,2,,,,,3
BUAG,,,,,,,,,,,,
FINC,,,,1,1,,,,,,,1
MISY,,,,,,,,,,,,
MKTG,,,,,,1,1,,,,,1
MLER,,,,,,1,1,,,,,1
PMBA,,,,,,2,2,,,,,2
USBU,,,,,,,,,,,,
Subtotal,,,1,1,2,9,9,2,2,,,13
Education            ATTR,,,,,,1,1,,,,,1
EDAD,,,,,,,,1,1,,,1
EDCI,,,,,,1,1,1,1,,,2
EDHL,,,,,,,,,,,,
EDIS,,,1,,1,,,,,,,1
EHRD,,,,,,,,,,,,
EPSY,,,,,,,,1,1,,,1
SPED,,,,,,1,1,,,,,1
SPMT,,,,,,1,1,,,,,1
Subtotal,,,1,,1,4,4,3,3,,,8
