Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Education           ATTR,,,,,,,,,,,,
BIED,,,,,,,,,,,,
CPSY,,,,,,,,1,1,,,1
EDAD,,,,,,,,,,,,
EDCI,,,,,,4,4,3,3,,,7
EDHL,,2,4,1,7,,,,,,,7
EDIS,,,2,,2,,,,,,,2
EDKI,,,,3,3,,,,,,,3
EDSM,1,1,1,,3,,,,,,,3
EHRD,,,,,,,,1,1,,,1
EPSY,,,,,,,,1,1,,,1
GENE,,,,,,,,,,,,
HEED,,,,,,1,1,1,1,,,2
HLTH,,,,3,3,,,,,,,3
HRDL,,,1,,1,,,,,,,1
HRDV,,,,2,2,,,,,,,2
INST,,,2,2,4,,,,,,,4
KINE,,,1,9,10,1,1,,,,,11
SPMT,,,,1,1,1,1,,,,,2
SPSY,,,,,,,,3,3,,,3
TCMG,,,,,,,,,,,,
TCML,,,1,,1,,,,,,,1
USEH,,,,,,,,,,,,
Subtotal,1,3,12,21,37,7,7,10,10,,,54
Engineering       AERL,,,,,,,,,,,,
AERO,,,,2,2,,,,,,,2
BMEN,,,1,2,3,1,1,1,1,,,5
CECL,,,2,,2,,,,,,,2
CECN,,,,2,2,,,,,,,2
CHEL,,,1,,1,,,,,,,1
CHEN,,,,4,4,,,1,1,,,5
CPSC,,,,1,1,,,,,,,1
CPSL,,,2,,2,,,,,,,2
CVEL,1,,,,1,,,,,,,1
CVEN,,,1,1,2,,,1,1,,,3
ELEL,1,1,,,2,,,,,,,2
ELEN,,1,2,4,7,,,,,,,7
ENTC,,,,1,1,,,,,,,1
INEL,,1,1,,2,,,,,,,2
INEN,,,1,4,5,1,1,,,,,6
ITDE,,,,,,,,,,,,
MEEL,,,1,,1,,,,,,,1
MEEN,,,2,2,4,,,,,,,4
MSEN,,,,,,,,1,1,,,1
NUEL,,,,,,,,,,,,
NUEN,,,,1,1,1,1,1,1,,,3
OCEL,,,,,,,,,,,,
OCEN,,,1,,1,,,,,,,1
PETE,,,,1,1,1,1,,,,,2
PETL,,,1,,1,,,,,,,1
RHEL,,,,,,,,,,,,
RHEN,,,,2,2,,,,,,,2
Subtotal,2,3,16,27,48,4,4,5,5,,,57
