Summer 2013,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excluding Black (NEW),International,Unknown or Not Reported,Total,
Liberal Arts,ANTH,47,1,3,1,17,,2,3,1,75,
CLSS,,1,,,,,,,,1,2,
COMM,,173,,4,9,28,,5,2,,221,
ECON,,178,1,22,8,35,,8,74,2,328,
ENGL,,143,,3,11,29,1,7,7,2,203,
FREN,,3,,,,1,,,,,4,
GERM,,3,,,,,,,,,3,
HISP,,2,,,,10,,,8,,20,
HIST,,143,1,5,7,30,,4,2,1,193,
INTS,,171,1,10,5,62,,8,1,1,259,
MODL,,1,,,,1,,,,,2,
MUSC,,5,,1,1,1,,,,,8,
NRSC,,11,,1,1,3,,,3,,19,
PERF,,,,,2,,,,,,2,
PHIL,,35,,3,1,8,,2,,1,50,
POLS,,151,,14,13,51,,6,3,4,242,
PSYC,,336,,23,32,85,,7,14,1,498,
RUSS,,3,,,,1,,,,,4,
SOCI,,112,,4,27,50,,5,3,1,202,
SPAN,,9,,,,12,,,1,,22,
TCMS,,39,,1,1,9,,1,,,51,
THAR,,9,,,1,2,,,,,12,
USLA,,7,,,1,,,,,,8,
WGST,,3,,2,,3,,,,,8,
Subtotal,,"1,585",4,96,121,438,1,55,121,15,"2,436",
Science,APHY,7,1,,,2,,,1,,11,
APMS,,31,,3,3,8,,,4,2,51,
BIOL,,130,1,28,12,50,1,3,22,,247,
BMCB,,7,,3,,4,,,1,,15,
BOTN,,1,,,,,,,,,1,
CHEM,,112,1,17,5,27,,2,119,16,299,
GENE,,2,,,,,,,,,2,
MATH,,66,,3,3,16,,3,76,1,168,
MBIO,,17,,3,1,6,,1,4,,32,
MSEN,,1,,,,,,1,,,2,
NRSC,,,,,,,,,1,,1,
PHYS,,76,,7,5,11,,7,82,13,201,
STAT,,40,,11,2,2,,1,31,2,89,
USSC,,5,,,,3,,,,,8,
ZOOL,,9,,1,,2,,,1,,13,
Subtotal,,504,3,76,31,131,1,18,342,34,"1,140",
Veterinary,BIMS,299,,58,18,84,,21,29,1,510,
Medicine,BIOT,,,,,,,,1,,1,
EPID,,1,,,,,,,1,,2,
GENE,,9,,,,1,,,1,,11,
LAMD,,1,,,,,,,,,1,
STJR,,4,,,,,,1,,,5,
TOXI,,7,,1,,1,,,4,,13,
USVM,,,,,1,,,,,,1,
VPAT,,9,,1,,1,,1,2,,14,
VTMD,,139,,2,,7,,,,6,154,
VTMI,,7,,,1,,,,3,,11,
VTPH,,1,,,,,,,,,1,
Subtotal,,477,,62,20,94,,23,41,7,724,
General Studies,GEST,352,1,26,14,127,,11,2,1,534,
TEAM,,136,1,9,,27,,2,,,175,
Subtotal,,488,2,35,14,154,,13,2,1,709,
Other - Special,MARB,,,1,,1,,,,,2,
Populations,MARM,2,,,,,,,,,2,
MARS,,1,,,,,,,,,1,
MART,,,,,,1,,,,,1,
MASE,,1,,,,,,,,,1,
MASL,,1,,,,,,,,,1,
MDSC,,1,,1,,,,,,,2,
PHLT,,7,,2,,1,,,4,,14,
REEP,,1,,,,,,,4,1,6,
Subtotal,,14,,4,,3,,,8,1,30,
Total,,10623,41,742,674,2442,14,325,2401,176,17438,
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,
