Summer 2013,,Undergraduate,,,,Masters,,,Doctoral,,,Professional,Total
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,
Architecture,ARCH,,,,,5,,34,,,18,,57
COMG,,,,,,5,,40,,,,,45
COSC,,,,,201,,,,,,,,201
COSL,,,11,1,74,,,,,,,,86
ENDL,,,6,,32,,,,,,,,38
ENDS,,,,,29,,,,,,,,29
LAND,,,,,16,1,,15,,,,,32
LANL,,1,,,4,,,,,,,,5
LDEV,,,,,,,,4,,,,,4
LPDV,,,,,,,,10,,,,,10
URPL,,,,,,,,12,,,,,12
URPN,,1,,2,4,,,,,,,,7
URSC,,,,,19,,,,,,5,,24
USAR,,2,2,,38,,,,,,,,42
VISL,,,,,29,,,,,,,,29
VIST,,,,,20,,1,37,,,,,58
Subtotal,,4,19,3,466,11,1,152,,,23,,679
Business Admin,ACCT,,11,,407,100,,24,3,,14,,559
AGBU,,,,,4,,,,,,,,4
BHNR,,,,,37,,,,,,,,37
BUAD,,14,10,1,209,,,44,,,,,278
BUAG,,,1,,2,,,,,,,,3
FINC,,,1,1,221,62,,7,,,12,,304
INFO,,,,1,135,,,,,,9,,145
MGMT,,,5,,104,9,,3,,,18,,139
MISY,,,,,,39,,65,,,,,104
MKTG,,,2,1,167,6,,32,,,9,,217
MLER,,,,,,2,,26,,,,,28
PMBA,,,,,,,,36,,,,,36
USBU,,,,1,80,,,,,,,,81
Subtotal,,14,30,5,"1,366",218,,237,3,,62,,"1,935"
Education,ATTR,,,,,10,,11,,,,,21
BIED,,,,,,1,,7,,,,,8
CPSY,,,,,,,,,,,30,,30
EDAD,,,,,,3,,11,3,,89,,106
EDCI,,,,,,53,2,147,2,,88,,292
EDHL,,1,3,1,192,,,,,,,,197
EDIS,,,11,1,89,,,,,,,,101
EDKI,,8,1,,183,,,,,,,,192
EDSM,,12,2,2,97,,,,,,,,113
EHRD,,,,,,5,,49,,,51,,105
EPSY,,,,,,26,,4,2,,53,,85
GENE,,,,,,,,,,,1,,1
HEED,,,,,,,,29,1,,21,,51
HLTH,,,,1,157,,,,,,,,158
HRDL,,,4,4,42,,,,,,,,50
HRDV,,,,,94,,,,,,,,94
INST,,,1,1,265,,,,,,,,267
KINE,,1,,,134,4,,15,1,,50,,205
NUTR,,,,,,,,1,,,,,1
SPED,,,,,,2,,18,,,,,20
SPMT,,,,1,127,,,34,,,,,162
SPSY,,,,,,,,,,,37,,37
TCMG,,,,,51,,,,,,,,51
TCML,,,2,1,36,,,,,,,,39
USEH,,,,1,1,,,,,,,,2
Subtotal,,22,24,13,"1,468",104,2,326,9,,420,,"2,388"
