Students by Country by Level (College Station Campus),,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Grenada,1,,,,1,
Guatemala,7,2,4,,13,
Honduras,2,,2,,4,
Hong Kong,2,,7,,9,
India,18,266,173,,457,
Indonesia,7,7,5,,19,
Iran,,18,91,,109,
Iraq,1,8,4,,13,
Israel,1,,,,1,
Italy,1,3,5,,9,
Jamaica,,,1,,1,
Japan,,4,8,,12,
Jordan,,1,7,,8,
Kazakhstan,2,1,,,3,
Kenya,1,1,4,,6,
"Korea, Republic of",19,42,155,,216,
Kuwait,1,4,3,,8,
Lebanon,,,7,,7,
Macao,,,1,,1,
Malaysia,9,3,7,,19,
Mauritius,,,1,,1,
Mexico,15,15,27,,57,
Morocco,,2,,,2,
Nepal,7,6,9,,22,
Netherlands,1,,1,,2,
New Zealand,,,4,,4,
Nicaragua,3,,,,3,
Nigeria,5,9,9,,23,
Oman,2,2,2,,6,
Other Foreign or US,6,1,2,,9,
Pakistan,2,3,1,,6,
Panama,3,3,5,,11,
Papua New Guinea,,,1,,1,
Peru,1,2,4,,7,
Philippines,,1,6,,7,
Poland,,,1,,1,
Qatar,3,3,4,,10,
Page 129,,,,,,
