Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Engineering        AERL,,1,,1,2,,,,,,,2
AERO,2,1,3,4,10,,,,,,,10
BIOT,,,,,,,,,,,,
BMEL,1,,2,3,6,,,,,,,6
BMEN,,,,,,1,1,,,,,1
CEEL,,1,,1,2,,,,,,,2
CEEN,,,,,,,,,,,,
CHEL,1,,,,1,,,,,,,1
CHEN,,,,2,2,,,,,,,2
CPSC,,,,,,1,1,1,1,,,2
CPSL,,,3,2,5,,,,,,,5
CVEL,,,1,1,2,,,,,,,2
CVEN,,,,,,,,1,1,,,1
ELEL,1,,,,1,,,,,,,1
ELEN,,1,4,2,7,,,1,1,,,8
HLPH,,,,,,,,,,,,
IDIL,,,1,,1,,,,,,,1
IDIS,,,,,,,,,,,,
INEL,,1,1,,2,,,,,,,2
MEEL,,,1,,1,,,,,,,1
MEEN,,,,1,1,1,1,,,,,2
MSEN,,,,,,,,,,,,
NUEL,,,,1,1,,,,,,,1
OCEN,,,,,,,,,,,,
PETE,,,,1,1,3,3,,,,,4
RHEN,,,,,,,,,,,,
SENG,,,,,,1,1,,,,,1
USEN,,,,,,,,,,,,
Subtotal,5,5,16,19,45,7,7,3,3,,,55
