Summer 2013,Undergraduate,,,,Masters,,,Doctoral,,,Professional,Total
,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,
Agriculture           AGEC,2,8,1,183,2,,32,,,21,,249
ALEC,1,10,8,574,6,,44,2,,23,,668
ANSC,1,4,2,298,3,1,37,1,,27,,374
BAEN,,,,102,,,21,2,,15,,140
BCBP,,,3,84,,,2,1,,114,,204
CLAG,,4,6,35,,,,,,,,45
ENTO,1,1,,72,,,10,,,37,,121
ESSM,,5,1,66,2,,19,,,26,,119
HRSC,,1,,49,1,,17,1,,19,,88
NFSC,1,,1,223,,,18,,,19,,262
PLPM,,2,2,130,,,1,,,21,,156
POSC,,1,,36,2,,9,2,,9,,59
RPTS,,7,4,217,,,10,2,,15,,255
SCSC,,3,,44,4,1,26,5,,58,,141
WFSC,1,,1,99,1,2,30,,,30,,164
Subtotal,7,46,29,"2,212",21,4,276,16,,434,,"3,045"
Architecture         ARCH,,6,,61,5,,34,,,18,,124
CLAR,2,2,,38,,,,,,,,42
COSC,,11,1,275,5,,40,,,,,332
LAUP,2,,2,43,1,,41,,,5,,94
VIZA,,,,49,,1,37,,,,,87
Subtotal,4,19,3,466,11,1,152,,,23,,679
Business Admin   ACCT,,11,,407,100,,24,3,,14,,559
CLBA,14,11,2,332,,,80,,,,,439
FINC,,1,1,221,64,,33,,,12,,332
INFO,,,1,135,39,,65,,,9,,249
MGMT,,5,,104,9,,3,,,18,,139
MKTG,,2,1,167,6,,32,,,9,,217
Subtotal,14,30,5,"1,366",218,,237,3,,62,,"1,935"
Education             CLED,,,1,1,,,,,,,,2
EAHR,,6,5,223,8,,60,3,,140,,445
EPSY,,,,73,29,,29,2,,120,,253
HLKN,22,6,5,890,14,,90,2,,72,,"1,101"
TLAC,,12,2,281,53,2,147,2,,88,,587
Subtotal,22,24,13,"1,468",104,2,326,9,,420,,"2,388"
Engineering          AERO,1,,,151,2,,17,2,,60,,233
BMEN,,,1,118,2,,6,,,70,,197
CHEN,,2,,176,,,31,,,99,,308
CLEN,,,,1,,,,,,4,,5
CSCE,,6,2,222,,,58,,,91,,379
CVEN,,1,,265,3,,101,4,,109,,483
ECEN,,1,1,282,1,,70,,,189,,544
ETID,,4,2,264,,,,,,,,270
ISEN,1,1,3,207,3,,72,,,26,,313
MEEN,,3,,255,7,,76,4,1,198,,544
MSEN,,,,,1,,3,1,,11,,16
NUEN,,,,100,1,,34,4,,38,,177
PETE,2,,,101,10,1,155,,,89,,358
Subtotal,4,18,9,"2,142",30,1,623,15,1,984,,"3,827"
