Summer 2013,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
RLEM,3,13,,,,,,,,1,,,,,,,,,3,14,17
RPTS,112,72,1,,2,,8,14,9,6,,1,2,2,3,4,,1,137,100,237
RRDV,1,,,,,,,,,,,,,,,,,,1,,1
SOSC,4,8,,,,,,,2,,,,,,5,1,,,11,9,20
SPSA,2,9,,,,,,,,2,,,,,,,,,2,11,13
TGSC,,6,,,,,,,,1,,,,,,,,,,7,7
TOXI,1,,,,,,1,,,,,,,,1,,,,3,,3
USAL,29,37,,,,,5,5,6,11,,,,,,,,1,40,54,94
WFSC,53,39,,,1,,2,1,27,12,,1,1,,6,5,1,,91,58,149
WISC,4,4,,,,,,,,,,,,,,,,,4,4,8
WMHS,1,4,,,,,,,1,1,,,,,1,,,,3,5,8
Subtotal,"1,112",960,11,2,40,37,63,72,244,170,2,3,26,27,123,125,17,11,"1,638","1,407","3,045"
Architecture       ARCH,14,9,,,,1,,,6,4,,,,,11,11,1,,32,25,57
COMG,7,5,,,,1,,1,,3,,,,,5,22,,1,12,33,45
COSC,8,149,,1,,,2,3,6,27,,,1,3,,1,,,17,184,201
COSL,2,62,,,,1,,1,2,16,,,,2,,,,,4,82,86
ENDL,17,7,,,1,,,,6,6,,,,,,1,,,24,14,38
ENDS,10,12,,,1,,,,2,3,,,,,1,,,,14,15,29
LAND,4,10,,,,1,,,1,2,,,,,11,3,,,16,16,32
LANL,4,1,,,,,,,,,,,,,,,,,4,1,5
LDEV,1,,,,,,,,1,,,,,,,2,,,2,2,4
LPDV,,4,,,,,,,,1,,,,,,5,,,,10,10
URPL,2,4,,,,,,,,1,,,,,3,2,,,5,7,12
URPN,1,1,,,,,,1,,2,1,,1,,,,,,3,4,7
URSC,6,11,,,,1,,,1,,,,,,3,2,,,10,14,24
USAR,11,13,,,,2,,3,3,9,,,,,,1,,,14,28,42
VISL,11,8,,,2,1,,1,4,2,,,,,,,,,17,12,29
VIST,20,20,,,4,1,,,2,2,,,1,,1,6,1,,29,29,58
Subtotal,118,316,,1,8,9,2,10,34,78,1,,3,5,35,56,2,1,203,476,679
Business              ACCT,217,201,,,11,14,8,2,44,35,,1,5,4,9,3,1,4,295,264,559
Admin                  AGBU,3,1,,,,,,,,,,,,,,,,,3,1,4
BHNR,16,13,,,,3,,,1,3,,,1,,,,,,18,19,37
BUAD,75,111,,,5,9,4,11,12,15,,,5,2,8,18,1,2,110,168,278
BUAG,1,,,,,,,,,2,,,,,,,,,1,2,3
FINC,80,143,,1,3,16,1,1,12,21,,,5,1,5,14,,1,106,198,304
INFO,26,61,1,1,5,6,4,,8,21,,,1,2,1,8,,,46,99,145
MGMT,57,44,,,3,3,3,5,8,11,,,,1,3,1,,,74,65,139
MISY,14,14,,,,1,,1,,2,,,1,,23,48,,,38,66,104
MKTG,123,45,,,3,,3,,20,11,,,1,1,5,4,,1,155,62,217
MLER,7,18,,,,,,,,2,,,,,,,,1,7,21,28
PMBA,6,19,,,1,7,,1,,,,,,,,,,2,7,29,36
USBU,30,29,,,,3,3,3,5,6,,,1,1,,,,,39,42,81
Subtotal,655,699,1,2,31,62,26,24,110,129,,1,20,12,54,96,2,11,899,"1,036","1,935"
