Summer 2013,,Undergraduate,Masters,Doctoral,Professional,Total
Agriculture,AGEC,194,34,21,,249
ALEC,,593,50,25,,668
ANSC,,305,41,28,,374
BAEN,,102,21,17,,140
BCBP,,87,2,115,,204
CLAG,,45,,,,45
ENTO,,74,10,37,,121
ESSM,,72,21,26,,119
HRSC,,50,18,20,,88
NFSC,,225,18,19,,262
PLPM,,134,1,21,,156
POSC,,37,11,11,,59
RPTS,,228,10,17,,255
SCSC,,47,31,63,,141
WFSC,,101,33,30,,164
Subtotal,,"2,294",301,450,,"3,045"
Architecture,ARCH,67,39,18,,124
CLAR,,42,,,,42
COSC,,287,45,,,332
LAUP,,47,42,5,,94
VIZA,,49,38,,,87
Subtotal,,492,164,23,,679
Business,ACCT,418,124,17,,559
Admin,CLBA,359,80,,,439
FINC,,223,97,12,,332
INFO,,136,104,9,,249
MGMT,,109,12,18,,139
MKTG,,170,38,9,,217
Subtotal,,"1,415",455,65,,"1,935"
Education,CLED,2,,,,2
EAHR,,234,68,143,,445
EPSY,,73,58,122,,253
HLKN,,923,104,74,,"1,101"
TLAC,,295,202,90,,587
Subtotal,,"1,527",432,429,,"2,388"
Engineering,AERO,152,19,62,,233
BMEN,,119,8,70,,197
CHEN,,178,31,99,,308
CLEN,,1,,4,,5
CSCE,,230,58,91,,379
CVEN,,266,104,113,,483
ECEN,,284,71,189,,544
ETID,,270,,,,270
ISEN,,212,75,26,,313
MEEN,,258,83,203,,544
MSEN,,,4,12,,16
NUEN,,100,35,42,,177
PETE,,103,166,89,,358
Subtotal,,"2,173",654,"1,000",,"3,827"
