Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Architecture       ARCH,,,,,,10,10,,,,,10
COMG,,,,,,3,3,,,,,3
COSC,,,6,27,33,,,,,,,33
COSL,1,4,11,2,18,,,,,,,18
ENDL,,6,4,2,12,,,,,,,12
ENDS,,,1,4,5,,,,,,,5
LAND,,,,3,3,,,,,,,3
LANL,,,,,,,,,,,,
LDEV,,,,,,1,1,,,,,1
LPDV,,,,,,1,1,,,,,1
URPL,,,,,,1,1,,,,,1
URPN,,,2,,2,,,,,,,2
URSC,,,,,,,,1,1,,,1
USAR,1,2,3,6,12,,,,,,,12
VISL,,,4,2,6,,,,,,,6
VIST,,,1,,1,3,3,,,,,4
Subtotal,2,12,32,46,92,19,19,1,1,,,112
Business             ACCT,,1,25,44,70,9,9,,,,,79
Admin                 AGBU,,,,,,,,,,,,
BHNR,,,2,2,4,,,,,,,4
BUAD,3,14,8,,25,2,2,,,,,27
BUAG,,1,1,,2,,,,,,,2
FINC,,1,16,13,30,2,2,1,1,,,33
INFO,,1,11,17,29,,,,,,,29
MGMT,,1,4,12,17,1,1,1,1,,,19
MISY,,,,,,2,2,,,,,2
MKTG,,,9,15,24,7,7,,,,,31
MLER,,,,,,2,2,,,,,2
PMBA,,,,,,,,,,,,
USBU,,2,2,7,11,,,,,,,11
Subtotal,3,21,78,110,212,25,25,2,2,,,239
Education           ATTR,,,,,,1,1,,,,,1
BIED,,,,,,6,6,,,,,6
CPSY,,,,,,,,10,10,,,10
EDAD,,,,,,6,6,21,21,,,27
EDCI,,,,,,17,17,4,4,,,21
EDHL,3,6,7,10,26,,,,,,,26
EDIS,,3,10,6,19,,,,,,,19
EDKI,1,3,15,11,30,,,,,,,30
EDSM,2,1,7,2,12,,,,,,,12
EHRD,,,,,,8,8,7,7,,,15
EPSY,,,,,,3,3,8,8,,,11
GENE,,,,,,,,,,,,
HEED,,,,,,7,7,2,2,,,9
HLTH,,,2,19,21,,,,,,,21
HRDL,,1,6,3,10,,,,,,,10
HRDV,,,2,15,17,,,,,,,17
INST,,,11,27,38,,,,,,,38
KINE,1,,1,27,29,,,4,4,,,33
NUTR,,,,,,,,,,,,
SPED,,,,,,1,1,,,,,1
SPMT,,,2,18,20,6,6,,,,,26
SPSY,,,,,,,,7,7,,,7
TCMG,,,,13,13,,,,,,,13
TCML,1,1,8,1,11,,,,,,,11
USEH,,,,,,,,,,,,
Subtotal,8,15,71,152,246,55,55,63,63,,,364
