Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture        ABME,,,,,,,,,,,,
AGBU,,,,,,,,,,,,
AGCJ,,3,1,3,7,,,,,,,7
AGLS,,1,,,1,,,,,,,1
AGRO,,,,,,,,,,,,
AGSC,,1,,,1,,,,,,,1
AGSM,,,,,,,,,,,,
ALEC,,,,,,,,2,2,,,2
ALED,3,14,10,18,45,,,,,,,45
ANBR,,,,,,1,1,,,,,1
ANSC,,,,,,,,,,,,
BAEN,,,,,,,,2,2,,,2
BESC,,2,1,5,8,,,,,,,8
BICH,1,2,1,3,7,,,,,,,7
ENST,,,,,,,,,,,,
ENTO,,,1,,1,,,1,1,,,2
ESSM,,,,,,,,1,1,,,1
FISC,,,,,,,,,,,,
FIVL,1,,,,1,,,,,,,1
FIVS,,,,,,,,,,,,
FORS,,,,,,,,1,1,,,1
FSTC,,,1,2,3,1,1,,,,,4
GENE,,1,1,,2,,,1,1,,,3
HORT,,,,,,,,,,,,
MEPS,,,,,,,,1,1,,,1
NRDV,,,,,,,,,,,,
NUSC,,1,1,6,8,,,,,,,8
PLPA,,,,,,,,1,1,,,1
POSC,,1,1,,2,,,1,1,,,3
RPTS,1,4,3,10,18,,,4,4,,,22
TOXI,,,,,,1,1,,,,,1
USAL,,2,3,5,10,,,,,,,10
WFSC,,1,,1,2,,,1,1,,,3
Subtotal,6,33,24,53,116,3,3,16,16,,,135
