Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,,
Liberal Arts,ANTH,,,,1,1,,,,,,,1,
CLSS,,,,,,,,,,,,,,
COMM,,2,1,2,3,8,,,1,1,,,9,
ECON,,,1,2,5,8,,,,,,,8,
ENGL,,1,,2,7,10,,,1,1,,,11,
HISP,,,,,,,,,,,,,,
HIST,,1,3,2,1,7,,,,,,,7,
INTS,,,,1,4,5,,,,,,,5,
MODL,,,,,,,,,,,,,,
MUSC,,,,1,,1,,,,,,,1,
NRSC,,,,,,,,,1,1,,,1,
PERF,,,,,,,2,2,,,,,2,
PHIL,,,,1,,1,,,,,,,1,
POLS,,1,1,3,6,11,,,2,2,,,13,
PSYC,,2,1,8,19,30,,,2,2,,,32,
RUSS,,,,,,,,,,,,,,
SOCI,,,,5,12,17,1,1,9,9,,,27,
SPAN,,,,,,,,,,,,,,
TCMS,,,,,1,1,,,,,,,1,
THAR,,,1,,,1,,,,,,,1,
USLA,,,,,1,1,,,,,,,1,
WGST,,,,,,,,,,,,,,
Subtotal,,7,8,27,60,102,3,3,16,16,,,121,
Science,APHY,,,,,,,,,,,,,
APMS,,1,,,2,3,,,,,,,3,
BIOL,,1,,1,9,11,,,1,1,,,12,
CHEM,,,,1,1,2,1,1,2,2,,,5,
GENE,,,,,,,,,,,,,,
MATH,,,,1,,1,1,1,1,1,,,3,
MBIO,,,,,1,1,,,,,,,1,
PHYS,,1,2,,,3,,,2,2,,,5,
STAT,,,,,,,2,2,,,,,2,
Subtotal,,3,2,3,13,21,4,4,6,6,,,31,
Veterinary,BIMS,2,2,3,9,16,2,2,,,,,18,
Medicine,USVM,,,1,,1,,,,,,,1,
VPAT,,,,,,,,,,,,,,
VTMD,,,,,,,,,,,,,,
VTMI,,,,,,,,,1,1,,,1,
VTPH,,,,,,,,,,,,,,
Subtotal,,2,2,4,9,17,2,2,1,1,,,20,
General,GEST,13,1,,,14,,,,,,,14,
Studies,TEAM,,,,,,,,,,,,,
Subtotal,,13,1,,,14,,,,,,,14,
University,Total,58,68,115,232,473,76,76,125,125,,,674,
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,,
