Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,,
Veterinary,BIMS,7,19,67,155,248,36,36,15,15,,,299,
Medicine,BIOT,,,,,,,,,,,,,
EPID,,,,,,,1,1,,,,,1,
GENE,,,,,,,,,9,9,,,9,
LAMD,,,,,,,1,1,,,,,1,
STJR,,,,,,,4,4,,,,,4,
TOXI,,,,,,,,,7,7,,,7,
USVM,,,,,,,,,,,,,,
VPAT,,,,,,,,,9,9,,,9,
VTMD,,,,,,,,,,,139,139,139,
VTMI,,,,,,,,,7,7,,,7,
VTPH,,,,,,,1,1,,,,,1,
Subtotal,,7,19,67,155,248,43,43,47,47,139,139,477,
General Studies,GEST,279,59,14,,352,,,,,,,352,
TEAM,,32,82,22,,136,,,,,,,136,
Subtotal,,311,141,36,,488,,,,,,,488,
Other - Special,MARB,,,,,,,,,,,,,
Populations,MARM,,,,,,2,2,,,,,2,
MARS,,,,,1,1,,,,,,,1,
MART,,,,,,,,,,,,,,
MASE,,,1,,,1,,,,,,,1,
MASL,,,1,,,1,,,,,,,1,
MDSC,,,,,,,1,1,,,,,1,
PHLT,,,,,,,7,7,,,,,7,
REEP,,,,,1,1,,,,,,,1,
Subtotal,,,2,,2,4,10,10,,,,,14,
University,Total,469,892,"2,486","4,279","8,126","1,315","1,315","1,043","1,043",139,139,"10,623",
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,,
