Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,,
Liberal Arts        ANTH,1,,4,12,17,,,,,,,17,
CLSS,,,,,,,,,,,,,
COMM,2,2,11,12,27,,,1,1,,,28,
ECON,1,2,13,18,34,1,1,,,,,35,
ENGL,,1,9,15,25,1,1,3,3,,,29,
FREN,1,,,,1,,,,,,,1,
GERM,,,,,,,,,,,,,
HISP,,,,,,,,10,10,,,10,
HIST,,4,8,17,29,,,1,1,,,30,
INTS,,6,15,41,62,,,,,,,62,
MODL,,,,,,1,1,,,,,1,
MUSC,,,,1,1,,,,,,,1,
NRSC,,,,,,,,3,3,,,3,
PERF,,,,,,,,,,,,,
PHIL,,2,2,2,6,1,1,1,1,,,8,
POLS,,11,17,18,46,,,5,5,,,51,
PSYC,1,13,18,41,73,1,1,11,11,,,85,
RUSS,,,,1,1,,,,,,,1,
SOCI,1,4,19,13,37,4,4,9,9,,,50,
SPAN,,3,2,7,12,,,,,,,12,
TCMS,1,1,3,4,9,,,,,,,9,
THAR,,,1,1,2,,,,,,,2,
USLA,,,,,,,,,,,,,
WGST,,1,1,1,3,,,,,,,3,
Subtotal,8,50,123,204,385,9,9,44,44,,,438,
Science                APHY,,,,,,,,2,2,,,2,
APMS,,1,4,3,8,,,,,,,8,
BIOL,,5,14,29,48,,,2,2,,,50,
BMCB,,,,4,4,,,,,,,4,
BOTN,,,,,,,,,,,,,
CHEM,,2,3,9,14,,,13,13,,,27,
GENE,,,,,,,,,,,,,
MATH,2,1,1,8,12,3,3,1,1,,,16,
MBIO,,,3,1,4,,,2,2,,,6,
PHYS,1,,1,,2,,,9,9,,,11,
STAT,,,,,,2,2,,,,,2,
USSC,,1,1,1,3,,,,,,,3,
ZOOL,,,,2,2,,,,,,,2,
Subtotal,3,10,27,57,97,5,5,29,29,,,131,
Veterinary          BIMS,3,14,15,43,75,8,8,1,1,,,84,
Medicine             GENE,,,,,,,,1,1,,,1,
TOXI,,,,,,,,1,1,,,1,
USVM,,,,,,,,,,,,,
VPAT,,,,,,,,1,1,,,1,
VTMD,,,,,,,,,,7,7,7,
Subtotal,3,14,15,43,75,8,8,4,4,7,7,94,
General               GEST,109,16,2,,127,,,,,,,127,
Studies                TEAM,7,16,4,,27,,,,,,,27,
Subtotal,116,32,6,,154,,,,,,,154,
Other - Special  MARB,,1,,,1,,,,,,,1,
Populations        MART,1,,,,1,,,,,,,1,
MASE,,,,,,,,,,,,,
PHLT,,,,,,1,1,,,,,1,
REEP,,,,,,,,,,,,,
Subtotal,1,1,,,2,1,1,,,,,3,
University           Total,167,221,580,"1,031","1,999",216,216,220,220,7,7,"2,442",
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,
