Summer 2013,,Undergraduate,Masters,Doctoral,Professional,Total,
G. Bush,BUSH,,100,,,100,
School of,Subtotal,,100,,,100,
Geosciences,ATMO,45,20,32,,97,
CLGE,,40,1,,,41,
GEOG,,67,10,15,,92,
GEPL,,100,22,27,,149,
OCNG,,,10,36,,46,
Subtotal,,252,63,110,,425,
Liberal Arts,ANTH,57,7,11,,75,
CLLA,,16,,,,16,
COMM,,253,3,16,,272,
ECON,,244,60,24,,328,
ENGL,,171,5,27,,203,
HISP,,22,1,20,,43,
HIST,,178,,15,,193,
INTS,,273,,,,273,
PHUM,,36,2,12,,50,
POLS,,210,,32,,242,
PRFM,,20,2,,,22,
PSYC,,416,7,94,,517,
SOCI,,165,7,30,,202,
Subtotal,,"2,061",94,281,,"2,436",
Science,BIOL,259,4,48,,311,
CHEM,,75,7,218,,300,
CLSC,,8,,,,8,
MATH,,97,27,95,,219,
PHYS,,54,14,145,,213,
STAT,,,55,34,,89,
Subtotal,,493,107,540,,"1,140",
Veterinary,CLVM,414,16,1,154,585,
Medicine,VIBS,,27,29,,56,
VLCS,,,8,5,,13,
VSCS,,,3,9,,12,
VTPB,,,6,31,,37,
VTPP,,,4,17,,21,
Subtotal,,414,64,92,154,724,
General,GEST,709,,,,709,
Studies,Subtotal,709,,,,709,
Other -,CLMD,,2,,,2,
Special,MARB,2,,,,2,
Populations,MARS,1,2,,,3,
MART,,1,,,,1,
MASE,,2,,,,2,
SABX,,6,,,,6,
SRPH,,,14,,,14,
Subtotal,,12,18,,,30,
Total,,11842,2452,2990,154,17438,
"Prepared by DARS, 05 Sep 13",,,,,,,
