Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Engineering       AERO,,,,2,2,,,,,,,2
BMEN,,,1,2,3,1,1,1,1,,,5
CHEN,,,1,4,5,,,1,1,,,6
CLEN,,,,,,,,,,,,
CSCE,,,4,3,7,,,,,,,7
CVEN,1,,2,1,4,,,1,1,,,5
ECEN,1,2,2,4,9,,,,,,,9
ETID,,,,1,1,,,,,,,1
ISEN,,1,2,4,7,1,1,,,,,8
MEEN,,,3,2,5,,,,,,,5
MSEN,,,,,,,,1,1,,,1
NUEN,,,,3,3,1,1,1,1,,,5
PETE,,,1,1,2,1,1,,,,,3
Subtotal,2,3,16,27,48,4,4,5,5,,,57
G. Bush School  BUSH,,,,,,3,3,,,,,3
of Govt                Subtotal,,,,,,3,3,,,,,3
Geosciences       ATMO,,,,,,,,,,,,
CLGE,,1,1,,2,,,,,,,2
GEOG,,,1,1,2,,,1,1,,,3
GEPL,,,2,1,3,1,1,,,,,4
OCNG,,,,,,,,,,,,
Subtotal,,1,4,2,7,1,1,1,1,,,9
Liberal Arts        ANTH,1,,,,1,,,1,1,,,2
CLLA,,,,,,,,,,,,
COMM,,3,2,1,6,,,,,,,6
ECON,,,3,4,7,1,1,,,,,8
ENGL,,2,1,3,6,,,1,1,,,7
HISP,,,,,,,,,,,,
HIST,,,1,3,4,,,,,,,4
INTS,,1,5,2,8,,,,,,,8
PHUM,,,1,1,2,,,,,,,2
POLS,,,4,2,6,,,,,,,6
PRFM,,,,,,,,,,,,
PSYC,,,2,5,7,,,,,,,7
SOCI,,,1,1,2,1,1,2,2,,,5
Subtotal,1,6,20,22,49,2,2,4,4,,,55
Science                BIOL,,,3,1,4,,,,,,,4
CHEM,,,,2,2,,,,,,,2
CLSC,,,,,,,,,,,,
MATH,,,1,1,2,1,1,,,,,3
PHYS,1,1,,,2,1,1,5,5,,,8
STAT,,,,,,,,1,1,,,1
Subtotal,1,1,4,4,10,2,2,6,6,,,18
Veterinary          CLVM,1,1,4,12,18,2,2,,,,,20
Medicine             VIBS,,,,,,1,1,,,,,1
VTPB,,,,,,,,1,1,,,1
VTPP,,,,,,1,1,,,,,1
Subtotal,1,1,4,12,18,4,4,1,1,,,23
General               GEST,10,3,,,13,,,,,,,13
Studies                Subtotal,10,3,,,13,,,,,,,13
University           Total,17,31,83,134,265,32,32,28,28,,,325
