Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Business,ACCT,,,9,10,19,5,5,1,1,,,25
Admin,AGBU,,,,,,,,,,,,
BHNR,,,,3,,3,,,,,,,3
BUAD,,,5,6,,11,3,3,,,,,14
BUAG,,,,,,,,,,,,,
FINC,,,1,3,11,15,3,3,1,1,,,19
INFO,,,,6,5,11,,,,,,,11
MGMT,,,,2,2,4,,,2,2,,,6
MISY,,,,,,,1,1,,,,,1
MKTG,,,,1,,1,2,2,,,,,3
MLER,,,,,,,,,,,,,
PMBA,,,,,,,8,8,,,,,8
USBU,,,,3,,3,,,,,,,3
Subtotal,,,6,33,28,67,22,22,4,4,,,93
Education,ATTR,,,,,,,,,,,,
BIED,,,,,,,,,,,,,
CPSY,,,,,,,,,2,2,,,2
EDAD,,,,,,,,,1,1,,,1
EDCI,,,,,,,5,5,1,1,,,6
EDHL,,,3,6,3,12,,,,,,,12
EDIS,,,,,,,,,,,,,
EDKI,,,,2,3,5,,,,,,,5
EDSM,,,,1,,1,,,,,,,1
EHRD,,,,,,,1,1,5,5,,,6
EPSY,,,,,,,2,2,1,1,,,3
GENE,,,,,,,,,,,,,
HEED,,,,,,,1,1,1,1,,,2
HLTH,,,,,3,3,,,,,,,3
HRDL,,,1,1,1,3,,,,,,,3
HRDV,,,,,2,2,,,,,,,2
INST,,,,,,,,,,,,,
KINE,,,,,3,3,1,1,1,1,,,5
NUTR,,,,,,,,,,,,,
SPED,,,,,,,1,1,,,,,1
SPMT,,,,,1,1,1,1,,,,,2
SPSY,,,,,,,,,3,3,,,3
TCMG,,,,,2,2,,,,,,,2
TCML,,,,1,1,2,,,,,,,2
USEH,,,,,,,,,,,,,
Subtotal,,,4,11,19,34,12,12,15,15,,,61
