Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Engineering            AERL,3,9,2,,14,,,,,,,14
AERO,,,27,57,84,16,16,31,31,,,131
BIOT,,,,,,6,6,,,,,6
BMEL,4,9,,,13,,,,,,,13
BMEN,,3,12,39,54,6,6,27,27,,,87
CECL,2,7,3,3,15,,,,,,,15
CECN,,3,10,23,36,1,1,3,3,,,40
CEEL,,4,2,,6,,,,,,,6
CEEN,,1,3,15,19,,,3,3,,,22
CHEL,1,11,8,3,23,,,,,,,23
CHEN,1,1,18,64,84,2,2,16,16,,,102
CPSC,2,,14,42,58,4,4,18,18,,,80
CPSL,,12,11,10,33,,,,,,,33
CVEL,1,5,4,,10,,,,,,,10
CVEN,1,10,55,79,145,44,44,14,14,,,203
ELEL,1,7,9,8,25,,,,,,,25
ELEN,2,4,31,53,90,4,4,13,13,,,107
ENGR,,,,,,,,1,1,,,1
ENSM,,,,,,1,1,,,,,1
ENTC,1,,7,46,54,,,,,,,54
ENTL,1,7,9,5,22,,,,,,,22
HLPH,,,,,,4,4,,,,,4
IDIL,,3,14,5,22,,,,,,,22
IDIS,,1,25,69,95,,,,,,,95
INEL,,8,10,,18,,,,,,,18
INEN,1,5,32,59,97,11,11,1,1,,,109
ITDE,,,,,,,,,,,,
MEEL,7,12,3,,22,,,,,,,22
MEEN,1,4,51,97,153,34,34,34,34,,,221
MSEN,,,,,,,,14,14,,,14
NUEL,3,6,2,2,13,,,,,,,13
NUEN,,,10,24,34,16,16,20,20,,,70
OCEL,,1,,,1,,,,,,,1
OCEN,1,1,9,10,21,2,2,,,,,23
PETE,1,3,19,17,40,59,59,5,5,,,104
PETL,4,6,5,1,16,,,,,,,16
RHEL,,1,,,1,,,,,,,1
RHEN,,1,5,8,14,,,,,,,14
SENG,,,,,,2,2,,,,,2
USEN,,,,1,1,,,,,,,1
Subtotal,38,145,410,740,"1,333",212,212,200,200,,,"1,745"
G. Bush School of  CAIA,,,,,,19,19,,,,,19
Govt                          CHLS,,,,,,18,18,,,,,18
CNPM,,,,,,11,11,,,,,11
CNSA,,,,,,7,7,,,,,7
INTA,,,,,,7,7,,,,,7
PSAA,,,,,,6,6,,,,,6
Subtotal,,,,,,68,68,,,,,68
