Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Business,ACCT,,1,2,5,8,4,4,,,,,12
Admin,BUAD,4,1,,,5,21,21,,,,,26
BUAG,,,,,,,,,,,,,
FINC,,,,5,3,8,3,3,8,8,,,19
INFO,,,,,1,1,,,8,8,,,9
MGMT,,,,,,,,,4,4,,,4
MISY,,,,,,,71,71,,,,,71
MKTG,,,,,,,3,3,6,6,,,9
USBU,,,,,,,,,,,,,
Subtotal,,4,2,7,9,22,102,102,26,26,,,150
Education,ATTR,,,,,,,,,,,,
EDAD,,,,,,,,,,,,,
EDCI,,,,,,,12,12,8,8,,,20
EDHL,,,,,,,,,,,,,
EDIS,,1,,,,1,,,,,,,1
EDKI,,,1,1,,2,,,,,,,2
EDSM,,1,,1,,2,,,,,,,2
EHRD,,,,,,,9,9,10,10,,,19
EPSY,,,,,,,2,2,21,21,,,23
GENE,,,,,,,,,,,,,
HEED,,,,,,,1,1,7,7,,,8
HLTH,,,,,1,1,,,,,,,1
HRDL,,,,,,,,,,,,,
HRDV,,,,,1,1,,,,,,,1
INST,,,,,,,,,,,,,
KINE,,,,,,,2,2,14,14,,,16
SPMT,,,,,2,2,2,2,,,,,4
SPSY,,,,,,,,,2,2,,,2
USEH,,,,,,,,,,,,,
Subtotal,,2,1,2,4,9,28,28,62,62,,,99
Engineering,AERL,,,,1,1,,,,,,,1
AERO,,,1,1,2,4,1,1,28,28,,,33
BIOT,,,,,,,10,10,,,,,10
BMEL,,,,,,,,,,,,,
BMEN,,,,2,,2,,,23,23,,,25
CECL,,1,,,,1,,,,,,,1
CECN,,,,,4,4,15,15,25,25,,,44
CEEL,,,,1,1,2,,,,,,,2
CEEN,,,,1,1,2,30,30,23,23,,,55
CHEL,,,,,,,,,,,,,
CHEN,,,,,13,13,2,2,67,67,,,82
CPSC,,,,,9,9,35,35,37,37,,,81
CPSL,,,1,1,2,4,,,,,,,4
CVEL,,,,,1,1,,,,,,,1
CVEN,,,,3,5,8,33,33,79,79,,,120
ELEL,,1,1,,,2,,,,,,,2
ELEN,,,2,4,18,24,31,31,136,136,,,191
ENGR,,,,,,,,,1,1,,,1
ENSM,,,,,,,,,,,,,
ENTC,,,,,1,1,,,,,,,1
ENTL,,,,3,,3,,,,,,,3
IDIS,,,,1,3,4,,,,,,,4
INEL,,,2,2,2,6,,,,,,,6
INEN,,,2,3,14,19,53,53,22,22,,,94
ITDE,,,,,,,,,,,,,
MEEL,,1,,,,1,,,,,,,1
MEEN,,,,3,7,10,36,36,128,128,,,174
MSEN,,,,,,,4,4,39,39,,,43
NUEL,,,,,,,,,,,,,
NUEN,,,1,2,4,7,6,6,18,18,,,31
OCEL,,,,,,,,,,,,,
OCEN,,1,,,,1,18,18,17,17,,,36
PETE,,,,2,10,12,70,70,80,80,,,162
PETL,,3,2,,,5,,,,,,,5
SENG,,,,,,,3,3,,,,,3
USEN,,,,,,,,,,,,,
Subtotal,,7,12,29,98,146,347,347,723,723,,,"1,216"
