Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture,ABME,,,,,,,,,,,,
AGBU,,,,,,,1,1,,,,,1
AGCJ,,,,1,,1,,,,,,,1
AGEC,,,,,1,1,1,1,,,,,2
AGED,,,,,,,,,,,,,
AGLS,,,2,,,2,,,,,,,2
AGRO,,,,1,,1,2,2,,,,,3
ALEC,,,,,,,,,1,1,,,1
ANSC,,2,,,1,3,,,1,1,,,4
BAEN,,,,,,,1,1,,,,,1
BESC,,,1,2,2,5,,,,,,,5
BICH,,,3,1,6,10,,,1,1,,,11
CDEV,,,1,,,1,,,,,,,1
ENTO,,,,,3,3,1,1,1,1,,,5
ESSM,,,,,,,,,1,1,,,1
FIVS,,,,,1,1,,,,,,,1
FORS,,,,,,,,,,,,,
FSTC,,1,,1,3,5,,,,,,,5
GENE,,,,3,2,5,,,1,1,,,6
HORT,,,,,,,,,2,2,,,2
MEPS,,,,,,,,,1,1,,,1
NRDV,,,,,,,,,,,,,
NUSC,,,4,6,7,17,,,,,,,17
NUTR,,,,,,,,,,,,,
PLBR,,,,,,,,,1,1,,,1
PLPA,,,,,,,,,1,1,,,1
POSC,,,,1,,1,,,,,,,1
RENR,,,,1,,1,,,,,,,1
RLEM,,,,,,,,,,,,,
RPTS,,,,1,,1,,,1,1,,,2
WFSC,,,,1,,1,,,,,,,1
Subtotal,,3,11,19,26,59,6,6,12,12,,,77
Architecture,ARCH,,,,,,1,1,,,,,1
COMG,,,,,,,1,1,,,,,1
COSC,,,,,,,,,,,,,
COSL,,,,1,,1,,,,,,,1
ENDL,,,1,,,1,,,,,,,1
ENDS,,,,,1,1,,,,,,,1
LAND,,,,1,,1,,,,,,,1
URPN,,,,,,,,,,,,,
URSC,,,1,,,1,,,,,,,1
USAR,,,,1,1,2,,,,,,,2
VISL,,,,1,2,3,,,,,,,3
VIST,,,,,2,2,3,3,,,,,5
Subtotal,,,2,4,6,12,5,5,,,,,17
