Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Engineering       AERL,,1,,,1,,,,,,,1
AERO,,,2,4,6,,,,,,,6
BIOT,,,,,,,,,,,,
BMEL,,4,,,4,,,,,,,4
BMEN,,,1,5,6,,,5,5,,,11
CECL,,2,,1,3,,,,,,,3
CECN,,1,,3,4,,,1,1,,,5
CEEL,,2,1,,3,,,,,,,3
CEEN,,,1,2,3,1,1,,,,,4
CHEL,1,1,2,,4,,,,,,,4
CHEN,,,5,12,17,,,2,2,,,19
CPSC,,,1,4,5,1,1,1,1,,,7
CPSL,1,,3,,4,,,,,,,4
CVEL,,1,,,1,,,,,,,1
CVEN,,,2,6,8,3,3,1,1,,,12
ELEL,,4,2,,6,,,,,,,6
ELEN,1,2,10,17,30,4,4,5,5,,,39
ENGR,,,,,,,,1,1,,,1
ENSM,,,,,,1,1,,,,,1
ENTC,,,,2,2,,,,,,,2
ENTL,,2,2,,4,,,,,,,4
IDIS,,,,3,3,,,,,,,3
INEL,,,1,,1,,,,,,,1
INEN,,,4,7,11,4,4,1,1,,,16
ITDE,,,,,,,,1,1,,,1
MEEL,,1,,,1,,,,,,,1
MEEN,,,3,8,11,2,2,4,4,,,17
MSEN,,,,,,1,1,1,1,,,2
NUEL,1,1,,,2,,,,,,,2
NUEN,,,1,2,3,,,1,1,,,4
OCEL,,,,,,,,,,,,
OCEN,,,2,1,3,,,,,,,3
PETE,,,3,4,7,12,12,1,1,,,20
PETL,,1,,,1,,,,,,,1
RHEL,,1,,,1,,,,,,,1
USEN,,,,,,,,,,,,
Subtotal,4,24,46,81,155,29,29,25,25,,,209
G. Bush School  CAIA,,,,,,,,,,,,
of Govt                CHLS,,,,,,,,,,,,
CNPM,,,,,,1,1,,,,,1
PSAA,,,,,,2,2,,,,,2
Subtotal,,,,,,3,3,,,,,3
Geosciences       ATMO,,,,,,,,,,,,
ENGS,,,1,1,2,,,,,,,2
ENST,,,,2,2,,,,,,,2
GEOG,,,,,,,,,,,,
GEOL,,,2,1,3,,,1,1,,,4
WMHS,,,,,,1,1,,,,,1
Subtotal,,,3,4,7,1,1,1,1,,,9
