Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Geosciences,ATMO,,,,,,15,15,14,14,,,29
ENGS,,1,5,9,15,30,,,,,,,30
ENST,,,3,10,10,23,,,,,,,23
GEOG,,1,1,5,17,24,5,5,5,5,,,34
GEOL,,3,4,17,35,59,14,14,9,9,,,82
GEOP,,,1,3,10,14,2,2,2,2,,,18
GEOS,,,,,,,1,1,,,,,1
MARB,,,,,,,,,2,2,,,2
METL,,,1,4,1,6,,,,,,,6
METR,,,3,7,12,22,,,,,,,22
OCNG,,,,,,,6,6,12,12,,,18
SPSG,,,,,1,1,,,,,,,1
USGE,,,,,1,1,,,,,,,1
WMHS,,,,,,,2,2,3,3,,,5
Subtotal,,5,18,55,102,180,45,45,47,47,,,272
Liberal Arts,ANTH,,6,15,14,35,6,6,6,6,,,47
CLSS,,,,1,,1,,,,,,,1
COMM,,2,23,65,69,159,2,2,12,12,,,173
ECON,,3,19,69,77,168,4,4,6,6,,,178
ENGL,,,13,49,62,124,4,4,15,15,,,143
FREN,,,,1,2,3,,,,,,,3
GERM,,,,,3,3,,,,,,,3
HISP,,,,,,,,,2,2,,,2
HIST,,4,13,41,73,131,,,12,12,,,143
INTS,,3,18,49,101,171,,,,,,,171
MODL,,,,,1,1,,,,,,,1
MUSC,,,1,2,2,5,,,,,,,5
NRSC,,,,,,,,,11,11,,,11
PERF,,,,,,,,,,,,,
PHIL,,,2,7,15,24,1,1,10,10,,,35
POLS,,1,15,46,68,130,,,21,21,,,151
PSYC,,2,32,106,147,287,6,6,43,43,,,336
RUSS,,,,1,2,3,,,,,,,3
SOCI,,1,12,24,66,103,1,1,8,8,,,112
SPAN,,1,2,1,5,9,,,,,,,9
TCMS,,,1,14,24,39,,,,,,,39
THAR,,,2,5,2,9,,,,,,,9
USLA,,,,1,6,7,,,,,,,7
WGST,,,,1,2,3,,,,,,,3
Subtotal,,17,159,498,741,"1,415",24,24,146,146,,,"1,585"
Science,APHY,,,,,,,,7,7,,,7
APMS,,,3,11,17,31,,,,,,,31
BIOL,,11,16,30,61,118,2,2,10,10,,,130
BMCB,,,,3,4,7,,,,,,,7
BOTN,,,,,,,,,1,1,,,1
CHEM,,,5,8,21,34,3,3,75,75,,,112
GENE,,,,,,,1,1,1,1,,,2
MATH,,4,2,5,15,26,15,15,25,25,,,66
MBIO,,1,1,4,7,13,,,4,4,,,17
MSEN,,,,,,,,,1,1,,,1
NRSC,,,,,,,,,,,,,
PHYS,,,10,6,15,31,5,5,40,40,,,76
STAT,,,,,,,35,35,5,5,,,40
USSC,,,1,3,1,5,,,,,,,5
ZOOL,,,1,1,6,8,,,1,1,,,9
Subtotal,,16,39,71,147,273,61,61,170,170,,,504
