Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture,AGEC,,,,1,1,2,2,,,,,3
ALEC,,,,1,,1,,,1,1,,,2
ANSC,,2,,,1,3,,,1,1,,,4
BAEN,,,,,,,1,1,,,,,1
BCBP,,,3,4,8,15,,,2,2,,,17
CLAG,,,2,,,2,,,,,,,2
ENTO,,,,,4,4,1,1,1,1,,,6
ESSM,,,,1,,1,,,1,1,,,2
HRSC,,,,,,,,,2,2,,,2
NFSC,,1,4,7,10,22,,,,,,,22
PLPM,,,1,2,2,5,,,1,1,,,6
POSC,,,,1,,1,,,,,,,1
RPTS,,,1,1,,2,,,1,1,,,3
SCSC,,,,1,,1,2,2,2,2,,,5
WFSC,,,,1,,1,,,,,,,1
Subtotal,,3,11,19,26,59,6,6,12,12,,,77
Architecture,ARCH,,1,,1,2,1,1,,,,,3
CLAR,,,,1,1,2,,,,,,,2
COSC,,,,1,,1,1,1,,,,,2
LAUP,,,1,1,,2,,,,,,,2
VIZA,,,,1,4,5,3,3,,,,,8
Subtotal,,,2,4,6,12,5,5,,,,,17
Business,ACCT,,,9,10,19,5,5,1,1,,,25
Admin,CLBA,,5,12,,17,11,11,,,,,28
FINC,,,1,3,11,15,3,3,1,1,,,19
INFO,,,,6,5,11,1,1,,,,,12
MGMT,,,,2,2,4,,,2,2,,,6
MKTG,,,,1,,1,2,2,,,,,3
Subtotal,,,6,33,28,67,22,22,4,4,,,93
Education,CLED,,,,,,,,,,,,
EAHR,,,1,2,6,9,1,1,6,6,,,16
EPSY,,,,,,,3,3,6,6,,,9
HLKN,,,3,9,13,25,3,3,2,2,,,30
TLAC,,,,,,,5,5,1,1,,,6
Subtotal,,,4,11,19,34,12,12,15,15,,,61
