Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,,
Liberal Arts        ANTH,,1,1,,2,,,1,1,,,3,
CLSS,,,,,,,,,,,,,
COMM,,,,3,3,,,1,1,,,4,
ECON,,1,7,11,19,2,2,1,1,,,22,
ENGL,,1,,2,3,,,,,,,3,
HISP,,,,,,,,,,,,,
HIST,,3,1,1,5,,,,,,,5,
INTS,,1,4,5,10,,,,,,,10,
MODL,,,,,,,,,,,,,
MUSC,,,,1,1,,,,,,,1,
NRSC,,,,,,,,1,1,,,1,
PERF,,,,,,,,,,,,,
PHIL,,1,1,1,3,,,,,,,3,
POLS,,4,5,4,13,,,1,1,,,14,
PSYC,1,2,4,10,17,,,6,6,,,23,
RUSS,,,,,,,,,,,,,
SOCI,,1,1,2,4,,,,,,,4,
SPAN,,,,,,,,,,,,,
TCMS,,,,1,1,,,,,,,1,
WGST,,,1,1,2,,,,,,,2,
Subtotal,1,15,25,42,83,2,2,11,11,,,96,
Science                APHY,,,,,,,,,,,,,
APMS,,,1,2,3,,,,,,,3,
BIOL,2,1,10,14,27,,,1,1,,,28,
BMCB,,,2,1,3,,,,,,,3,
BOTN,,,,,,,,,,,,,
CHEM,,,1,5,6,1,1,10,10,,,17,
GENE,,,,,,,,,,,,,
MATH,1,,1,,2,,,1,1,,,3,
MBIO,,,2,1,3,,,,,,,3,
PHYS,1,2,,1,4,,,3,3,,,7,
STAT,,,,,,11,11,,,,,11,
USSC,,,,,,,,,,,,,
ZOOL,,1,,,1,,,,,,,1,
Subtotal,4,4,17,24,49,12,12,15,15,,,76,
Veterinary          BIMS,3,2,14,35,54,3,3,1,1,,,58,
Medicine             STJR,,,,,,,,,,,,,
TOXI,,,,,,,,1,1,,,1,
USVM,,,,,,,,,,,,,
VPAT,,,,,,,,1,1,,,1,
VTMD,,,,,,,,,,2,2,2,
Subtotal,3,2,14,35,54,3,3,3,3,2,2,62,
General               GEST,20,5,1,,26,,,,,,,26,
Studies                TEAM,,7,2,,9,,,,,,,9,
Subtotal,20,12,3,,35,,,,,,,35,
Other - Special  MARB,,,1,,1,,,,,,,1,
Populations        MASL,,,,,,,,,,,,,
MDSC,,,,,,1,1,,,,,1,
PHLT,,,,,,2,2,,,,,2,
REEP,,,,,,,,,,,,,
Subtotal,,,1,,1,3,3,,,,,4,
University          Total,35,80,176,265,556,98,98,86,86,2,2,742,
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,
