Students by Country by Level (College Station Campus),,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Afghanistan,1,,,,1,
Albania,,,1,,1,
Angola,2,,,,2,
Antigua and Barbuda,1,,,,1,
Argentina,,,2,,2,
Australia,1,,,,1,
Austria,,,1,,1,
Azerbaijan,,,1,,1,
"Bahamas, The",,,1,,1,
Bahrain,,3,,,3,
Bangladesh,1,4,7,,12,
Belarus,,,1,,1,
Belize (British Honduras),1,,1,,2,
Bolivia,11,1,,,12,
Brazil,3,2,14,,19,
Bulgaria,,,2,,2,
Burma (Myanmar),,,1,,1,
Cameroon,1,1,1,,3,
Canada,6,5,12,,23,
Chile,,1,2,,3,
"China, People's Rep of",46,278,453,,777,
Colombia,4,12,31,,47,
Costa Rica,4,1,2,,7,
Cote d'Ivoire (Ivory Coast),1,,,,1,
Croatia,1,,,,1,
Denmark,1,,,,1,
Dominica,1,,,,1,
Ecuador,,3,8,,11,
Egypt (A.R.E.),1,5,16,,22,
El Salvador,1,4,1,,6,
Equatorial Guinea,2,,,,2,
Ethiopia,,1,,,1,
France,1,5,2,,8,
Georgia (C.I.S.),,1,1,,2,
Germany,,3,4,,7,
Ghana,,5,2,,7,
Greece,1,2,1,,4,
