Summer 2013,Undergraduate,Masters,Doctoral,Professional,Total
Agriculture            ABME,,,2,,2
ADEV,,12,,,12
AGBL,27,,,,27
AGBU,78,18,,,96
AGCJ,146,,,,146
AGEC,89,16,19,,124
AGED,,,4,,4
AGLS,38,,,,38
AGRO,29,14,6,,49
AGSC,44,,,,44
AGSM,51,3,,,54
ALEC,,38,21,,59
ALED,316,,,,316
ANBR,,4,2,,6
ANSC,305,29,19,,353
BAEN,51,16,17,,84
BESC,120,,,,120
BICH,62,2,88,,152
CDEV,13,,,,13
ECOR,8,,,,8
ENST,14,,,,14
ENTO,40,9,37,,86
ESSM,,7,21,,28
FISC,,1,,,1
FIVL,7,,,,7
FIVS,27,,,,27
FORS,10,5,5,,20
FSTC,39,14,13,,66
GENE,25,2,30,,57
HORT,50,14,17,,81
MEPS,,2,15,,17
NRDV,,13,,,13
NUSC,186,,,,186
NUTR,,11,10,,21
PLBR,,10,29,,39
PLPA,,1,21,,22
POSC,37,7,7,,51
PREP,,5,4,,9
PSSC,11,,,,11
RENR,25,,,,25
RLEM,17,,,,17
RPTS,214,7,16,,237
RRDV,,1,,,1
SOSC,,6,14,,20
SPSA,13,,,,13
TGSC,7,,,,7
TOXI,,1,2,,3
USAL,94,,,,94
WFSC,101,18,30,,149
WISC,,8,,,8
WMHS,,7,1,,8
Subtotal,"2,294",301,450,,"3,045"
