Summer 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,,,,
CLGE,,,,,,,,,,,,,,
GEOG,,,,,1,1,,,,,,,1,
GEPL,,,,,,,,,,,,,,
OCNG,,,,,,,,,1,1,,,1,
Subtotal,,,,,1,1,,,1,1,,,2,
Liberal Arts,ANTH,,,,,,,,1,1,,,1,
ECON,,,,1,,1,,,,,,,1,
HIST,,,1,,,1,,,,,,,1,
INTS,,,,,1,1,,,,,,,1,
SOCI,,,,,,,,,,,,,,
Subtotal,,,1,1,1,3,,,1,1,,,4,
Science,BIOL,,,,1,1,,,,,,,1,
CHEM,,,,,,,,,1,1,,,1,
PHYS,,,,,,,,,1,1,,,1,
STAT,,,,,,,,,,,,,,
Subtotal,,,,,1,1,,,2,2,,,3,
"Veterinary
Medicine",CLVM,,,,,,,,,,,,,
VTPP,,,,,,,,,,,,,,
Subtotal,,,,,,,,,,,,,,
"General
Studies",GEST,2,,,,2,,,,,,,2,
Subtotal,,2,,,,2,,,,,,,2,
University,Total,2,2,8,19,31,4,4,6,6,,,41,
"Prepared by DARS, 05 Sep 13",,,,,,,,,,,,,,
