Summer 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional Veterinary,Total,
Agriculture         ABME,,,,,,,,,,,,
ADEV,,,,,,,,,,,,
AGBL,,1,,,1,,,,,,,1
AGBU,,,,1,1,,,,,,,1
AGCJ,,1,1,2,4,,,,,,,4
AGEC,,,1,,1,,,,,,,1
AGRO,,,,,,,,,,,,
AGSC,,,2,,2,,,,,,,2
AGSM,,,1,,1,,,,,,,1
ALEC,,,,,,,,,,,,
ALED,,,1,3,4,,,,,,,4
ANBR,,,,,,,,,,,,
ANSC,1,1,2,6,10,1,1,,,,,11
BAEN,,,1,4,5,,,,,,,5
BESC,,1,1,,2,,,,,,,2
BICH,,,1,1,2,,,1,1,,,3
ENST,,,,,,,,,,,,
ENTO,,,,1,1,,,,,,,1
ESSM,,,,,,,,,,,,
FIVS,,,,1,1,,,,,,,1
FORS,,,,,,,,,,,,
FSTC,,,,1,1,1,1,,,,,2
GENE,,,1,1,2,,,,,,,2
HORT,,,,1,1,,,,,,,1
MEPS,,,,,,,,,,,,
NRDV,,,,,,1,1,,,,,1
NUSC,,,1,3,4,,,,,,,4
RENR,,1,,,1,,,,,,,1
RLEM,,,,,,,,,,,,
RPTS,,1,,3,4,,,,,,,4
WFSC,,,,1,1,,,,,,,1
Subtotal,1,6,13,29,49,3,3,1,1,,,53
Architecture       ARCH,,,,,,,,,,,,
COMG,,,,,,,,,,,,
COSC,,,,4,4,,,,,,,4
COSL,,1,1,,2,,,,,,,2
URPL,,,,,,,,,,,,
URPN,,1,,,1,,,,,,,1
VISL,,,,,,,,,,,,
VIST,,,,,,1,1,,,,,1
Subtotal,,2,1,4,7,1,1,,,,,8
Business             ACCT,,,4,4,8,1,1,,,,,9
Admin                 AGBU,,,,,,,,,,,,
BHNR,,,,1,1,,,,,,,1
BUAD,,5,2,,7,,,,,,,7
BUAG,,,,,,,,,,,,
FINC,,,2,2,4,2,2,,,,,6
INFO,,,1,2,3,,,,,,,3
MGMT,,,,1,1,,,,,,,1
MISY,,,,,,1,1,,,,,1
MKTG,,,,1,1,1,1,,,,,2
USBU,,,,2,2,,,,,,,2
Subtotal,,5,9,13,27,5,5,,,,,32
