"Fall 2003
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
INEN MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
41
5
4
16
66
9
54
76
30
55
83
29
11
12
153
18
153
31
714
312
42
65
20
439
472
472
1,737
1,737
6,793","Sophomore
17
1
19
15
52
9
63
137
58
100
96
39
20
9
183
14
251
43
1,022
214
41
48
18
321
344
344
923
923
6,285","Junior
28
1
53
25
107
32
94
221
184
156
174
81
26
32
262
24
363
81
1,730
206
41
63
21
331
324
324
111
111
7,508","Senior
37
64
40
141
42
102
236
217
203
188
165
20
35
240
25
365
74
1,912
217
42
103
21
383
358
358
9,048","PB
2
2
1
1
2
3
2
5
4
4
82","Total
123
7
140
98
368
92
313
670
489
515
541
314
78
88
838
81
1,132
229
5,380
952
168
279
80
1,479
1,502
1,502
2,771
2,771
29,716",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,4,25,29,8,8,448,448,160,
,,,,,,,,2,2,,,,,9,
,,,,,,,3,12,15,12,12,,,167,
,,,,,,,1,40,41,14,14,,,153,
,,,,,,,,33,33,13,13,,,46,
,,,,,,,8,112,120,47,47,,,535,
,,,,,,,2,60,62,30,30,,,184,
,,,,,,,,,,,,,,313,
,,,,,,,1,11,12,18,18,,,700,
,,,,,,,1,15,16,9,9,,,514,
,,,,,,,,32,32,43,43,,,590,
,,,,,,,2,19,21,36,36,,,598,
,,,,,,,1,12,13,,,,,327,
,,,,,,,2,6,8,,,,,86,
,,,,,,,,21,21,3,3,,,112,
,,,,,,,2,14,16,28,28,,,882,
,,,,,,,,,,,,,,81,
,,,,,,,1,18,19,40,40,,,"1,191",
,,,,,,,,14,14,20,20,,,263,
,,,,,,,12,222,234,227,227,,,"5,841",
,,,,,,,1,18,19,31,31,,,"1,002",
,,,,,,,3,45,48,57,57,,,273,
,,,,,,,26,54,80,11,11,,,370,
,,,,,,,,14,14,14,14,,,108,
,,,,,,,,14,14,10,10,,,24,
,,,,,,,30,145,175,123,123,,,"1,777",
,,,,,,,,,,,,,,"1,950",
,,,,,,,,10,10,12,12,,,22,
,,,,,,,1,5,6,,,,,6,
,,,,,,,,1,1,,,,,1,
,,,,,,,2,21,23,21,21,,,44,
,,,,,,,,8,8,7,7,,,15,
,,,,,,,3,45,48,40,40,448,448,"2,038",
,,,,,,,,,,,,,,"2,771",
,,,,,,,,,,,,,,"2,771",
,,,,,,,1,,1,,,,,1,
,,,,,,,,4,4,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,2,3,,,,,3,
,,,,,,,16,,16,,,,,16,
,,,,,,,18,7,25,,,,,25,
,,,,,,,270,"2,481","2,751","1,299","1,299",448,448,"34,214",
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
