"Fall 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
1
4
1
1
2
3
3
1
1
2
6
2
10
3
23
3
2
1
5
57","Sophomore
1
3
1
4
9
1
1
4
4
1
2
3
2
4
8
3
21
8
8
7
61","Junior
1
1
2
1
2
1
8
1
1
2
1
1
4
3
1
10
3
4
5
1
14
7
34
3
9
4
1
85","Senior
9
2
2
3
3
1
2
2
2
26
1
2
3
4
1
3
4
4
3
19
1
2
3
3
6
17
5
20
13
17
9
4
4
98","PB
1
1
2
4","Total
11
3
7
4
11
1
1
2
4
2
1
47
4
2
2
8
5
9
7
7
4
4
36
3
4
7
8
6
21
3
49
19
98
16
37
24
6
18
305",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,36,37,37,37,,,85,
,,,,,,,,2,2,4,4,,,9,
,,,,,,,1,13,14,15,15,,,36,
,,,,,,,,16,16,12,12,,,32,
,,,,,,,,22,22,44,44,,,77,
,,,,,,,,,,,,,,1,
,,,,,,,,4,4,9,9,,,13,
,,,,,,,1,3,4,7,7,,,11,
,,,,,,,,6,6,16,16,,,22,
,,,,,,,,6,6,14,14,,,21,
,,,,,,,,8,8,13,13,,,21,
,,,,,,,,3,3,14,14,,,19,
,,,,,,,,7,7,18,18,,,29,
,,,,,,,,23,23,25,25,,,50,
,,,,,,,1,5,6,17,17,,,24,
,,,,,,,4,154,158,245,245,,,450,
,,,,,,,3,85,88,38,38,,,130,
,,,,,,,,54,54,,,,,56,
,,,,,,,,41,41,26,26,,,69,
,,,,,,,3,180,183,64,64,,,255,
,,,,,,,,12,12,6,6,,,23,
,,,,,,,1,43,44,,,,,53,
,,,,,,,,13,13,5,5,,,25,
,,,,,,,,56,56,8,8,,,71,
,,,,,,,,1,1,12,12,,,17,
,,,,,,,,11,11,7,7,,,22,
,,,,,,,1,136,137,38,38,,,211,
,,,,,,,,2,2,24,24,,,26,
,,,,,,,2,11,13,20,20,,,33,
,,,,,,,,7,7,13,13,,,23,
,,,,,,,,14,14,14,14,,,32,
,,,,,,,2,34,36,71,71,,,114,
,,,,,,,,27,27,41,41,,,76,
,,,,,,,,24,24,22,22,,,52,
,,,,,,,,33,33,66,66,,,120,
,,,,,,,,3,3,14,14,,,20,
,,,,,,,5,108,113,103,103,,,265,
,,,,,,,,125,125,108,108,,,252,
,,,,,,,,129,129,167,167,,,394,
,,,,,,,,,,,,,,16,
,,,,,,,1,128,129,51,51,,,217,
,,,,,,,3,171,174,114,114,,,312,
,,,,,,,,19,19,21,21,,,46,
,,,,,,,,102,102,26,26,,,146,
,,,,,,,9,869,878,733,733,,,"1,916",
,,,,,,,,8,8,,,,,8,
,,,,,,,,8,8,,,,,8,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
