"Fall 2003
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
INEN MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
2
1
3
1
7
5
9
31
12
4
1
1
18
16
16
84
84
216","Sophomore
1
1
1
2
3
5
4
1
2
5
11
2
36
11
1
1
13
8
8
30
30
195","Junior
1
1
3
5
6
3
3
1
8
1
16
7
53
9
1
10
7
7
7
7
197","Senior
1
3
4
1
3
4
6
5
2
4
1
8
16
2
52
11
3
14
9
9
244","PB
2","Total
2
4
6
2
11
9
17
18
6
9
3
28
6
52
11
172
43
8
2
2
55
40
40
121
121
854",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,2,2,1,1,3,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,,,,,8,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,17,
,,,,,,,,4,5,,,,,23,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,,,,,10,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,28,
,,,,,,,,,,,,,,6,
,,,,,,,,,,2,2,,,54,
,,,,,,,,2,2,1,1,,,14,
,,,,,,,1,7,8,5,5,,,185,
,,,,,,,,2,2,,,,,45,
,,,,,,,,1,1,4,4,,,13,
,,,,,,,,1,1,,,,,3,
,,,,,,,,1,1,,,,,3,
,,,,,,,,5,5,4,4,,,64,
,,,,,,,,,,,,,,41,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,1,1,1,1,43,
,,,,,,,,,,,,,,121,
,,,,,,,,,,,,,,121,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,1,1,2,,,,,2,
,,,,,,,20,76,96,100,100,1,1,"1,051",
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
