"Fall 2003
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations              COFD INEN MARS POLS SABX SRPH
Subtotal
Grand Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
235
426
808
732
716
689
376
131
145
1070
104
1482
347
7261
1400
478
487
224
81
2670
2424
40
6
3
66
34
2573
3398
3398
13
15
1
4
1
49
30
113
44813",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,95,89,1,1,9,14,3,2,,1,8,5,3,4,119,116,,
,206,107,9,2,42,27,7,6,3,1,5,3,4,4,276,150,,
,521,179,8,1,49,23,2,3,6,1,4,3,4,4,594,214,,
,123,391,9,8,17,51,10,17,,1,30,65,2,8,191,541,,
,438,152,16,7,34,16,7,3,5,,17,9,8,4,525,191,,
,196,402,5,3,17,39,3,1,2,3,2,1,3,12,228,461,,
,245,82,8,2,17,5,2,2,1,,7,2,3,,283,93,,
,57,29,,,24,17,,1,,,2,,1,,84,47,,
,30,82,1,2,4,12,1,2,,,1,3,2,5,39,106,,
,359,523,18,10,42,71,8,13,1,3,5,9,2,6,435,635,,
,51,30,2,4,7,8,1,,,,,,1,,62,42,,
,898,293,46,8,116,44,31,11,3,2,8,7,11,4,"1,113",369,,
,182,81,13,1,23,15,6,3,,1,12,6,4,,240,107,,
,"3,401","2,440",136,49,401,342,81,64,21,13,101,113,48,51,"4,189","3,072",,
,645,357,29,16,116,76,70,41,2,2,18,17,3,8,883,517,,
,129,144,10,3,24,27,13,13,,2,37,71,4,1,217,261,,
,226,144,2,1,13,11,8,5,1,2,17,49,5,3,272,215,,
,16,92,,3,1,11,,2,,1,10,87,,1,27,197,,
,13,11,,,1,,3,,,,27,26,,,44,37,,
,"1,029",748,41,23,155,125,94,61,3,7,109,250,12,13,"1,443","1,227",,
,"1,325",625,31,10,184,77,78,43,9,6,8,3,15,10,"1,650",774,,
,16,6,,,,,,,,,7,11,,,23,17,,
,5,1,,,,,,,,,,,,,5,1,,
,1,,,,,,1,,,,,1,,,2,1,,
,30,14,,1,2,1,1,,,,9,7,,1,42,24,,
,7,8,1,,,,1,,,,7,9,1,,17,17,,
,"1,384",654,32,11,186,78,81,43,9,6,31,31,16,11,"1,739",834,,
,"1,321","1,450",42,79,164,208,26,50,9,10,8,14,5,12,"1,575","1,823",,
,"1,321","1,450",42,79,164,208,26,50,9,10,8,14,5,12,"1,575","1,823",,
,,1,,,1,1,,,,,4,6,,,5,8,,
,2,2,1,,1,1,2,2,,,2,2,,,8,7,,
,,1,,,,,,,,,,,,,,1,,
,1,2,,,1,,,,,,,,,,2,2,,
,,,,,,,,,,,,1,,,,1,,
,,,,,,,,,,,17,32,,,17,32,,
,12,4,,1,1,,2,,,,4,3,3,,22,8,,
,15,10,1,1,4,2,4,2,,,27,44,3,,54,59,,
,"16,915","17,299",602,449,"1,866","1,959",588,723,92,107,"1,083","2,705",172,253,"21,318","23,495",,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,,,,
