"Fall 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
1
3
2
2
1
1
1
1
3
5","Sophomore
1
1
1
1
4
1
1
1
1
2
1
1
1
2
7","Junior
3
2
1
1
1
3
1
1
2
15
1
1
1
3
1
4
9
1
3
1
5
1
2
2
1
2
5
2
2
3
2
22","Senior
9
2
1
1
1
1
2
3
1
1
3
25
5
1
2
8
2
6
4
3
4
19
8
3
11
3
3
1
4
5
4
5
2
5
4
1
37",PB,"Total
1
12
6
2
1
3
1
1
2
4
4
1
2
1
6
47
5
2
2
9
3
6
7
4
3
8
31
1
12
5
18
4
3
5
4
8
10
6
7
2
12
7
3
71",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,3,1,1,,,1,
,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,3,
,,,,,,,,3,3,1,1,,,5,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,2,
,,,,,,,,1,2,,,,,3,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,,,,,4,
,,,,,,,1,,1,,,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,1,1,,,4,
,,,,,,,,4,4,1,1,,,11,
,,,,,,,2,15,17,4,4,,,68,
,,,,,,,,3,3,1,1,,,9,
,,,,,,,,2,2,,,,,4,
,,,,,,,,3,3,1,1,,,6,
,,,,,,,,8,8,2,2,,,19,
,,,,,,,,1,1,,,,,4,
,,,,,,,,5,5,,,,,11,
,,,,,,,,3,3,,,,,10,
,,,,,,,,1,1,1,1,,,6,
,,,,,,,,,,1,1,,,4,
,,,,,,,,1,1,,,,,9,
,,,,,,,,11,11,2,2,,,44,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,6,6,,,8,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,1,1,,,14,
,,,,,,,1,,1,1,1,,,7,
,,,,,,,1,4,5,8,8,,,31,
,,,,,,,,,,,,,,4,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,,,,,6,
,,,,,,,,,,,,,,4,
,,,,,,,,3,3,,,,,11,
,,,,,,,,1,1,,,,,11,
,,,,,,,,1,1,,,,,7,
,,,,,,,,1,1,,,,,8,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,12,
,,,,,,,,,,1,1,,,8,
,,,,,,,1,,1,,,,,4,
,,,,,,,1,8,9,1,1,,,81,
,,,,,,,1,1,2,,,,,2,
,,,,,,,1,1,2,,,,,2,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
