Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Fall 2003,,,,,,,,,,,,
Enrollment Profile – Fall 2003 Official Certified 12th Class-Day Data,,,,,,,,,,,,
Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"14,730",-1.4%,"1,264",6.8%,598,5.1%,323,2.5%,"16,915",-0.6%,
,Black,471,-9.2%,58,45.0%,73,17.7%,,,602,-3.1%,
,Hispanic,"1,630",1.8%,130,8.3%,79,5.3%,27,28.6%,"1,866",2.7%,
,Asian,505,-5.3%,45,-4.3%,30,0.0%,8,-27.3%,588,-5.3%,
,American Indian,82,-9.9%,5,-16.7%,4,0.0%,1,0.0%,92,-9.8%,
,International,167,5.7%,509,-3.2%,407,18.0%,,,"1,083",5.2%,
,Unknown/Other,124,-34.0%,32,0.0%,10,0.0%,6,20.0%,172,-26.8%,
,Subtotal,"17,709",-1.8%,"2,043",4.5%,"1,201",9.7%,365,3.4%,"21,318",-0.6%,
Male,White,"14,986",-2.5%,"1,487",12.3%,701,-1.8%,125,-3.1%,"17,299",-1.3%,
,Black,383,5.2%,38,0.0%,27,8.0%,1,100.0%,449,5.2%,
,Hispanic,"1,734",1.9%,146,15.9%,72,9.1%,7,75.0%,"1,959",3.3%,
,Asian,621,-3.6%,73,25.9%,27,17.4%,2,-33.3%,723,-0.7%,
,American Indian,97,-1.0%,2,-60.0%,7,40.0%,1,0.0%,107,-1.8%,
,International,353,5.4%,"1,179",-7.1%,"1,173",12.1%,,,"2,705",2.1%,
,Unknown/Other,183,-20.8%,46,-2.1%,21,10.5%,3,0.0%,253,-15.7%,
,Subtotal,"18,357",-2.0%,"2,971",3.6%,"2,028",6.8%,139,-0.7%,"23,495",-0.6%,
Grand Total,,"36,066",-1.9%,"5,014",4.0%,"3,229",7.9%,504,2.2%,"44,813",-0.6%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
