Fall 2003,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,ADEV,992,18.0%,11,0.0%,1,100.0%,,,"1,003",17.7%,
,AGBL,144,-21.7%,,,,,,,144,-21.7%,
,AGBU,121,-14.8%,44,-2.2%,,,,,166,-11.2%,
,AGEC,312,-15.4%,40,8.1%,47,6.8%,,,399,-11.3%,
,AGED,,,61,10.9%,57,16.3%,,,118,13.5%,
,AGEN,112,5.7%,2,-75.0%,0,-100.0%,,,114,-0.9%,
,AGJR,105,36.4%,,,,,,,105,36.4%,
,AGLS,224,-11.5%,,,,,,,224,-11.5%,
,AGRO,129,0.8%,21,-8.7%,19,11.8%,,,169,0.6%,
,AGSC,214,9.7%,,,,,,,214,9.7%,
,AGSM,171,-14.1%,1,-50.0%,,,,,172,-14.4%,
,ANBR,,,3,200.0%,1,0.0%,,,4,100.0%,
,ANSC,710,7.3%,55,7.8%,15,-6.3%,,,780,7.0%,
,BAEN,,,34,41.7%,15,36.4%,,,49,40.0%,
,BESC,161,-6.4%,,,,,,,161,-6.4%,
,BICH,164,-6.8%,35,-18.6%,79,19.7%,,,278,-2.5%,
,BSEN,29,-12.1%,,,,,,,29,-12.1%,
,DASC,8,-50.0%,,,,,,,8,-50.0%,
,ENTO,58,56.8%,33,32.0%,25,-13.8%,,,116,27.5%,
,FISC,,,1,-50.0%,,,,,1,-50.0%,
,FLOR,9,80.0%,1,0.0%,,,,,10,66.7%,
,FORS,49,19.5%,11,10.0%,6,-33.3%,,,66,10.0%,
,FSTC,45,-26.2%,29,-23.7%,21,-8.7%,,,95,-22.1%,
,GENE,186,-7.9%,21,40.0%,23,15.0%,,,230,-3.0%,
,HORT,132,-6.4%,21,10.5%,18,20.0%,,,171,-2.3%,
,MEPS,,,12,20.0%,15,25.0%,,,27,22.7%,
,NRDV,,,10,42.9%,,,,,10,42.9%,
,NUSC,307,14.6%,,,,,,,307,14.6%,
,NUTR,,,26,-23.5%,15,-16.7%,,,41,-21.2%,
,PLBR,,,15,36.4%,17,-5.6%,,,32,10.3%,
,PLPA,,,7,0.0%,22,4.8%,,,29,3.6%,
,PLSC,,,2,0.0%,,,,,2,0.0%,
,POSC,186,23.2%,15,275.0%,15,0.0%,,,216,27.1%,
,PPHY,,,0,-100.0%,1,0.0%,,,1,-50.0%,
,PPRO,,,0,-100.0%,,,,,0,-100.0%,
,PREP,,,17,13.3%,13,44.4%,,,30,25.0%,
,PSSC,5,25.0%,,,,,,,5,25.0%,
,RENR,39,-2.5%,,,,,,,39,-2.5%,
,RLEM,142,25.7%,40,25.0%,28,-9.7%,,,210,19.3%,
,RPTS,263,-19.1%,19,-9.5%,27,-3.6%,,,309,-17.4%,
,RRDV,,,0,-100.0%,1,0.0%,,,1,-50.0%,
,SOSC,,,19,35.7%,8,-20.0%,,,27,12.5%,
,TOXI,,,1,0.0%,2,100.0%,,,3,50.0%,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,
