"Fall 2003
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
INEN MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
1
5
5
11
11
34","Sophomore
2
1
1
1
2
7
2
2
2
2
8
8
40","Junior
1
2
1
1
2
2
3
12
1
1
3
3
50","Senior
1
1
1
3
1
2
1
1
9
1
1
2
3
3
53","PB
2","Total
1
1
1
4
6
1
4
5
1
4
4
30
3
2
1
6
13
13
19
19
179",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,2,2,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,5,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,3,3,,,34,
,,,,,,,,,,1,1,,,4,
,,,,,,,,,,2,2,,,2,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,3,3,,,10,
,,,,,,,,,,,,,,15,
,,,,,,,,,,,,2,2,15,
,,,,,,,,,,,,,,19,
,,,,,,,,,,,,,,19,
,,,,,,,,6,7,11,11,2,2,199,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
