"Fall 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
8
5
16
2
9
2
4
2
1
3
52
11
9
2
22
61
61
2
13
29
44
26
9
12
38
21
12
12
3
5
20
3
7
168","Sophomore
5
15
15
4
12
12
1
3
3
2
5
4
81
11
3
5
19
43
43
2
21
30
53
5
5
11
28
8
19
27
3
2
16
4
7
135","Junior
4
26
25
3
10
15
5
4
2
10
6
5
1
9
125
16
17
3
36
13
13
10
6
17
20
79
14
33
33
80
8
3
11
6
16
28
20
19
8
21
6
5
151","Senior
12
32
29
9
12
11
6
1
3
15
8
1
12
1
16
168
14
27
41
19
18
9
17
26
89
2
44
46
92
18
8
12
3
19
42
28
64
20
20
12
8
254","PB
1
1
1
1
1
1
1
3","Total
29
78
85
18
43
41
12
5
5
32
19
4
22
2
32
427
52
56
10
118
32
117
28
15
34
46
272
20
111
139
270
57
25
46
75
64
102
88
89
35
77
25
28
711",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,3,3,,,31,
,,,,,,,,6,6,,,,,87,
,,,,,,,,1,2,1,1,,,88,
,,,,,,,,1,1,,,,,19,
,,,,,,,,2,2,4,4,,,49,
,,,,,,,,,,,,,,41,
,,,,,,,,3,3,1,1,,,16,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,32,
,,,,,,,1,,1,2,2,,,22,
,,,,,,,1,1,2,,,,,6,
,,,,,,,,1,1,,,,,23,
,,,,,,,,2,2,,,,,4,
,,,,,,,,8,8,8,8,,,48,
,,,,,,,3,27,30,19,19,,,476,
,,,,,,,1,11,12,2,2,,,66,
,,,,,,,,1,1,,,,,57,
,,,,,,,,8,8,,,,,18,
,,,,,,,1,20,21,2,2,,,141,
,,,,,,,,4,4,,,,,36,
,,,,,,,,11,11,,,,,128,
,,,,,,,,6,6,,,,,34,
,,,,,,,,3,3,1,1,,,19,
,,,,,,,,4,4,,,,,38,
,,,,,,,,2,2,,,,,48,
,,,,,,,,30,30,1,1,,,303,
,,,,,,,,,,,,,,20,
,,,,,,,11,10,21,49,49,,,70,
,,,,,,,13,25,38,18,18,,,56,
,,,,,,,1,6,7,2,2,,,120,
,,,,,,,2,2,4,16,16,,,159,
,,,,,,,27,43,70,85,85,,,425,
,,,,,,,,2,2,,,,,59,
,,,,,,,,1,1,1,1,,,27,
,,,,,,,,,,4,4,,,50,
,,,,,,,,,,,,,,75,
,,,,,,,1,8,9,1,1,,,74,
,,,,,,,,9,9,4,4,,,115,
,,,,,,,,3,3,1,1,,,92,
,,,,,,,,3,3,,,,,92,
,,,,,,,,6,6,,,,,41,
,,,,,,,,5,5,1,1,,,83,
,,,,,,,,3,3,,,,,28,
,,,,,,,,3,3,,,,,31,
,,,,,,,1,43,44,12,12,,,767,
,,,,,,,5,7,12,,,,,12,
,,,,,,,5,7,12,,,,,12,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
