"Fall 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
4
7
1
1
2
11
11
5
5
10
3
2
2
6
6
5
9
1
3
37","Sophomore
13
2
4
9
1
1
2
32
3
1
4
18
18
2
9
8
19
2
3
1
4
6
1
4
1
4
6
1
1
34","Junior
1
14
5
1
4
2
4
31
3
1
4
6
7
5
2
2
4
26
3
8
6
17
2
5
3
3
5
8
6
1
3
2
3
41","Senior
3
16
4
6
5
1
1
5
2
2
1
46
3
2
5
6
2
6
2
3
19
2
14
10
26
1
4
1
4
10
13
22
10
1
3
69","PB
2
2","Total
4
44
8
4
12
22
2
2
9
2
2
5
116
9
5
1
15
12
36
7
8
4
7
74
7
36
29
72
6
11
9
13
19
21
34
29
16
15
6
4
183",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,8,5,5,2,2,,,4,
,,,,,,,,,,,,,,51,
,,,,,,,,,,,,,,8,
,,,,,,,,1,1,,,,,5,
,,,,,,,,1,1,1,1,,,14,
,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,9,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,,,,,,,5,
,,,,,,,,8,8,4,4,,,128,
,,,,,,,,,,,,,,9,
,,,,,,,,2,2,,,,,7,
,,,,,,,,2,2,1,1,,,4,
,,,,,,,,4,4,1,1,,,20,
,,,,,,,,2,2,,,,,14,
,,,,,,,,5,5,,,,,41,
,,,,,,,,,,,,,,7,
,,,,,,,,3,3,,,,,11,
,,,,,,,,,,2,2,,,6,
,,,,,,,,,,,,,,7,
,,,,,,,,10,10,2,2,,,86,
,,,,,,,,,,,,,,7,
,,,,,,,,8,16,32,32,,,48,
,,,,,,,2,7,9,11,11,,,20,
,,,,,,,2,3,5,2,2,,,43,
,,,,,,,5,3,8,29,29,,,66,
,,,,,,,17,21,38,74,74,,,184,
,,,,,,,,1,1,,,,,7,
,,,,,,,,,,,,,,11,
,,,,,,,,3,3,,,,,12,
,,,,,,,,1,1,2,2,,,16,
,,,,,,,,4,4,3,3,,,26,
,,,,,,,,,,2,2,,,23,
,,,,,,,,,,,,,,34,
,,,,,,,,,,,,,,29,
,,,,,,,,4,4,2,2,,,22,
,,,,,,,,,,,,,,15,
,,,,,,,,1,1,,,,,7,
,,,,,,,1,,1,,,,,5,
,,,,,,,1,14,15,9,9,,,207,
,,,,,,,,3,3,,,,,3,
,,,,,,,,3,3,,,,,3,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
