Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Peru,,12,7,,19,
Philippines,,2,7,,9,
Poland,,2,1,,3,
Portugal,2,3,4,,9,
Romania,,4,12,,16,
Russia,4,9,25,,38,
Rwanda,,3,,,3,
Saint Kitts & Nevis,,,1,,1,
San Marino,,1,,,1,
Saudi Arabia,2,6,11,,19,
Serbia,,2,4,,6,
Singapore,2,4,6,,12,
South Africa,2,4,1,,7,
Spain,1,5,3,,9,
Sri Lanka (Ceylon),,2,5,,7,
Suriname,,1,,,1,
Sweden,2,1,,,3,
Switzerland,1,1,1,,3,
Syria,,,2,,2,
Taiwan,13,37,75,,125,
Tanzania,,1,,,1,
Thailand,2,21,23,,46,
Trinidad & Tobago,1,3,,,4,
Tunisia,2,4,1,,7,
Turkey,9,36,50,,95,
Turkmenistan,,1,,,1,
Uganda,1,1,2,,4,
Ukraine,,2,3,,5,
United Arab Emirates,4,1,,,5,
United Kingdom,14,3,2,,19,
United States,"35,530","3,309","1,640",504,"40,983",
Uruguay,3,1,3,,7,
Uzbekistan,1,2,1,,4,
Venezuela,8,29,14,,51,
Viet Nam Socialist Republic,6,3,4,,13,
YUGOSLAVIA (OLD),,3,2,,5,
Zambia,,1,1,,2,
Zimbabwe (Rhodesia),,2,4,,6,
