Top 10,,,,,,,,
Fall 2003  Feeder Patterns First Time In College,,,,,,,,
State,Students  % Total,,,,,,,
Texas,6348,,95.1%,,,,,
Louisiana,41,,0.6%,,,,,
Oklahoma,18,,0.3%,,,,,
New Mexico,14,,0.2%,,,,,
Florida,14,,0.2%,,,,,
California,13,,0.2%,,,,,
Arkansas,12,,0.2%,,,,,
Washington,12,,0.2%,,,,,
Colorado,11,,0.2%,,,,,
Illinois,11,,0.2%,,,,,
Country,,Students  % Total,,,,,,
United States,,6606,,,99.0%,,,
India,,22,,,0.3%,,,
Canada,,6,,,0.1%,,,
Mexico,,6,,,0.0%,,,
"Korea, Republic of",,5,,,0.0%,,,
"China, People's Rep",,4,,,0.0%,,,
Nigeria,,3,,,0.0%,,,
Bangladesh,,2,,,0.0%,,,
Germany,,2,,,0.0%,,,
Pakistan,,2,,,0.0%,,,
Texas County   Students  % Total,,,,,,,,
Harris,,1131,,16.9%,,,,
Tarrant,,423,,6.3%,,,,
Dallas,,420,,6.3%,,,,
Bexar,,347,,5.2%,,,,
Fort Bend,,259,,3.9%,,,,
Brazos,,194,,2.9%,,,,
Travis,,186,,2.8%,,,,
Collin,,176,,2.6%,,,,
Montgomery,,161,,2.4%,,,,
Williamson,,132,,2.0%,,,,
