"Fall 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
85
101
178
43
65
14
6
5
13
7
23
18
14
12
63
647
90
51
17
158
834
834
10
172
287
469
165
60
77
76
169
183
149
41
15
237
40
45
1,257","Sophomore
77
226
185
56
47
37
6
15
22
20
43
28
35
26
61
884
95
97
28
220
802
802
35
2
250
369
656
81
46
84
42
114
195
128
87
26
181
28
49
1,061","Junior
150
352
279
72
52
69
13
17
39
30
48
42
82
43
101
1,389
124
141
23
288
294
102
214
67
144
244
1,065
57
377
488
922
68
36
80
17
123
240
167
211
38
184
42
35
1,241","Senior
215
471
308
108
86
27
16
17
57
50
42
63
98
45
136
1,739
143
238
44
425
231
3
244
137
156
336
1,107
15
463
691
1,169
84
57
127
4
216
230
242
429
64
273
37
51
1,814","PB
4
2
1
1
1
1
4
14
1
1
2
34
36
1
2
2
3
6
1
3
18","Total
527
1,154
952
280
250
148
41
54
132
107
157
151
229
126
365
4,673
453
527
112
1,092
525
1,741
458
204
300
580
3,808
117
2
1,264
1,869
3,252
398
200
370
139
624
851
692
769
143
878
147
180
5,391",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,4,45,45,9,9,,,581,
,,,,,,,,54,58,48,48,,,"1,260",
,,,,,,,7,82,89,31,31,,,"1,072",
,,,,,,,,19,19,4,4,,,303,
,,,,,,,1,23,24,38,38,,,312,
,,,,,,,,,,,,,,148,
,,,,,,,,24,24,16,16,,,81,
,,,,,,,1,9,10,1,1,,,65,
,,,,,,,1,19,20,12,12,,,164,
,,,,,,,,3,3,10,10,,,120,
,,,,,,,,10,10,7,7,,,174,
,,,,,,,4,32,36,12,12,,,199,
,,,,,,,,14,14,10,10,,,253,
,,,,,,,,44,44,29,29,,,199,
,,,,,,,3,79,82,44,44,,,491,
,,,,,,,21,457,478,271,271,,,"5,422",
,,,,,,,5,117,122,14,14,,,589,
,,,,,,,2,20,22,,,,,549,
,,,,,,,,36,36,13,13,,,161,
,,,,,,,7,173,180,27,27,,,"1,299",
,,,,,,,,117,117,10,10,,,652,
,,,,,,,4,181,185,,,,,"1,926",
,,,,,,,,152,152,5,5,,,615,
,,,,,,,,54,54,2,2,,,260,
,,,,,,,,33,33,10,10,,,343,
,,,,,,,,39,39,6,6,,,625,
,,,,,,,4,576,580,33,33,,,"4,421",
,,,,,,,,,,,,,,117,
,,,,,,,41,88,129,207,207,,,338,
,,,,,,,9,114,123,130,130,,,253,
,,,,,,,11,64,75,32,32,,,"1,371",
,,,,,,,41,62,103,59,59,,,"2,031",
,,,,,,,102,328,430,428,428,,,"4,110",
,,,,,,,,16,16,5,5,,,419,
,,,,,,,,16,16,4,4,,,220,
,,,,,,,,11,11,11,11,,,392,
,,,,,,,,2,2,8,8,,,149,
,,,,,,,15,54,69,20,20,,,713,
,,,,,,,1,78,79,13,13,,,943,
,,,,,,,,33,33,12,12,,,737,
,,,,,,,,22,22,,,,,791,
,,,,,,,1,12,13,5,5,,,161,
,,,,,,,1,55,56,13,13,,,947,
,,,,,,,,20,20,10,10,,,177,
,,,,,,,,18,18,2,2,,,200,
,,,,,,,18,337,355,103,103,,,"5,849",
,,,,,,,47,79,126,,,,,126,
,,,,,,,47,79,126,,,,,126,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
