Fall 2003,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,38,51,1,1,1,6,2,5,1,1,47,61,2,1,90,124,214,
,COMG,4,18,,,,1,,2,,,14,40,,2,19,64,83,
,COSC,32,257,,2,6,20,2,,,,,,,1,40,281,321,
,COSL,27,211,1,2,6,24,2,4,,1,1,1,,1,37,244,281,
,ENDL,103,137,2,2,9,20,5,2,,2,1,2,,,120,165,285,
,ENDS,102,111,1,4,11,12,5,3,,1,,1,3,2,123,134,257,
,LAND,26,26,,,1,,1,1,,,15,3,2,,45,30,75,
,LANL,32,38,,1,4,6,2,1,,2,,,,1,38,49,87,
,LDEV,1,10,,1,1,1,,,,,3,9,1,,6,21,27,
,URPL,7,8,,1,4,1,,,,,7,6,,1,18,17,35,
,URSC,2,11,1,,,,,,,,7,19,,1,10,31,41,
,VIZA,12,35,,,3,4,3,1,,,10,8,,1,28,49,77,
,Subtotal,386,913,6,14,46,95,22,19,1,7,105,150,8,11,574,"1,209",1783,
Business,ACCT,378,274,14,,24,12,18,11,,1,17,6,3,1,454,305,759,
Admin,AGBU,2,3,,,,,,,,,,,,,2,3,5,
,BUAD,"1,043",865,24,17,68,60,39,39,3,6,8,45,2,9,"1,187","1,041",2228,
,BUAG,4,9,,,,,,,,,,,,,4,9,13,
,FINC,198,364,4,3,9,24,9,12,,3,8,16,2,8,230,430,660,
,INFO,63,143,6,2,8,8,11,5,1,2,9,6,2,3,100,169,269,
,MGMT,164,179,5,1,22,16,7,5,1,2,9,8,2,2,210,213,423,
,MISY,23,31,,3,1,2,1,1,,,15,41,,1,40,79,119,
,MKTG,444,181,3,4,29,19,4,6,3,,8,14,6,3,497,227,724,
,MLER,12,41,,,,1,,,,,,1,,,12,43,55,
,Subtotal,"2,331","2,090",56,30,161,142,89,79,8,14,74,137,17,27,"2,736","2,519",5255,
Education,CPSY,20,16,2,2,2,2,,,,,2,,,,26,20,46,
,EDAD,142,92,22,10,29,15,1,,2,,9,,3,2,208,119,327,
,EDCI,137,25,29,8,17,3,4,1,1,,26,2,2,,216,39,255,
,EDHL,138,18,4,2,11,2,2,2,,,,,2,,157,24,181,
,EDIS,908,38,16,3,81,4,5,3,5,,2,,2,,"1,019",48,1067,
,EDIT,,2,,,,,,,,,,,,,,2,2,
,EDKI,422,352,13,7,33,38,3,10,1,2,1,1,1,4,474,414,888,
,EDTC,21,8,2,,2,1,,,,,4,,,,29,9,38,
,EHRD,62,40,11,5,15,11,1,3,,,11,6,1,2,101,67,168,
,EPSY,139,22,7,1,37,2,1,,,,20,5,1,,205,30,235,
,HEED,19,7,2,1,,,,,,,,,1,,22,8,30,
,HLTH,77,7,4,,10,,1,,1,,,,,1,93,8,101,
,INST,863,27,8,2,49,4,7,,11,,2,,3,,943,33,976,
,ISNC,75,42,3,4,11,9,1,6,,,,,,1,90,62,152,
,KINE,180,141,5,5,8,16,4,,1,,5,15,,4,203,181,384,
,PHED,3,7,,,1,1,,1,1,,,1,1,,6,10,16,
,SPSY,26,1,6,,6,4,1,,,,1,1,,,40,6,46,
,TECR,29,4,,,1,,,,,,,,,,30,4,34,
,Subtotal,"3,261",849,134,50,313,112,31,26,23,2,83,31,17,14,"3,862","1,084",4946,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,,,,,
