"Fall 2003
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
INEN MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
1
3
6
2
8
4
4
13
13
1
26
27
123","Sophomore
1
5
1
1
8
1
1
2
3
3
8
8
99","Junior
1
6
1
5
2
15
2
2
3
3
1
1
126","Senior
1
1
1
3
6
3
13
2
2
4
1
1
168","PB
4","Total
1
1
2
1
6
18
1
1
2
8
2
39
11
1
2
2
16
11
11
22
22
1
26
27
520",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,7,8,13,13,,,22,
,,,,,,,,4,4,10,10,,,15,
,,,,,,,1,18,19,24,24,,,43,
,,,,,,,,9,9,17,17,,,26,
,,,,,,,2,38,40,64,64,,,106,
,,,,,,,,7,7,5,5,,,13,
,,,,,,,,2,2,,,,,8,
,,,,,,,,2,2,5,5,,,7,
,,,,,,,,34,34,43,43,,,95,
,,,,,,,,9,9,17,17,,,26,
,,,,,,,1,,1,1,1,,,3,
,,,,,,,,8,8,,,,,9,
,,,,,,,,2,2,,,,,2,
,,,,,,,,2,2,2,2,,,4,
,,,,,,,,2,2,10,10,,,14,
,,,,,,,,1,1,6,6,,,15,
,,,,,,,,4,4,12,12,,,18,
,,,,,,,1,73,74,101,101,,,214,
,,,,,,,,7,7,17,17,,,35,
,,,,,,,,37,37,70,70,,,108,
,,,,,,,1,24,25,39,39,,,66,
,,,,,,,,25,25,70,70,,,97,
,,,,,,,1,18,19,34,34,,,53,
,,,,,,,2,111,113,230,230,,,359,
,,,,,,,,,,,,,,11,
,,,,,,,,6,6,12,12,,,18,
,,,,,,,,1,1,,,,,1,
,,,,,,,,10,10,6,6,,,16,
,,,,,,,,2,2,14,14,,,16,
,,,,,,,,19,19,32,32,,,62,
,,,,,,,,,,,,,,22,
,,,,,,,,,,,,,,22,
,,,,,,,10,,10,,,,,10,
,,,,,,,,2,2,2,2,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,23,,23,,,,,49,
,,,,,,,7,,7,,,,,7,
,,,,,,,40,2,42,2,2,,,71,
,,,,,,,64,"1,624","1,688","1,580","1,580",,,"3,788",
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
