"Fall 2003
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
INEN MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
2
1
1
2
1
1
6
6
23","Sophomore
1
1
2
1
1
1
1
1
2
9
2
2
2
2
10
10
37","Junior
1
3
4
4
5
1
1
3
4
26
2
1
1
4
6
6
1
1
89","Senior
1
1
6
4
3
3
4
1
4
4
1
7
4
41
5
1
3
9
7
7
158",PB,"Total
1
2
3
1
8
8
9
8
10
3
1
4
8
1
13
4
78
10
2
4
1
17
16
16
17
17
307",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,3,1,1,9,9,3,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,,,,,4,
,,,,,,,1,4,5,1,1,,,9,
,,,,,,,1,3,4,2,2,,,7,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,8,
,,,,,,,,,,1,1,,,10,
,,,,,,,,3,3,1,1,,,12,
,,,,,,,,2,2,3,3,,,15,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,1,1,,,7,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,15,
,,,,,,,,,,,,,,4,
,,,,,,,1,11,12,9,9,,,99,
,,,,,,,,1,1,,,,,11,
,,,,,,,,1,1,2,2,,,5,
,,,,,,,2,2,4,,,,,8,
,,,,,,,,,,,,,,1,
,,,,,,,2,4,6,2,2,,,25,
,,,,,,,,,,,,,,25,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,9,9,27,
,,,,,,,,,,,,,,17,
,,,,,,,,,,,,,,17,
,,,,,,,3,,3,,,,,3,
,,,,,,,3,,3,,,,,3,
,,,,,,,12,66,78,31,31,9,9,425,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
