"Fall 2003
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
INEN MARS POLS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
5
1
6
2
12
9
5
6
11
5
3
25
2
28
108
58
10
4
5
77
88
88
231
231
857","Sophomore
3
3
6
2
12
10
11
8
8
5
6
3
27
1
36
2
131
42
10
4
2
58
58
58
121
121
705","Junior
1
2
2
1
6
4
17
22
26
8
15
10
8
4
23
5
46
17
205
44
2
5
1
52
44
44
20
20
798","Senior
1
8
2
11
9
28
28
23
23
19
6
16
5
33
7
38
14
249
45
8
4
57
37
37
998","PB
1
1
6","Total
10
3
13
3
29
17
69
69
65
45
53
21
35
15
108
15
148
33
693
190
30
17
8
245
227
227
372
372
3,364",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,3,3,1,1,34,34,10,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,17,
,,,,,,,,2,2,,,,,5,
,,,,,,,,1,1,,,,,1,
,,,,,,,,6,6,1,1,,,36,
,,,,,,,,4,5,1,1,,,23,
,,,,,,,,,,,,,,69,
,,,,,,,,,,3,3,,,72,
,,,,,,,,1,1,2,2,,,68,
,,,,,,,1,1,2,3,3,,,50,
,,,,,,,2,1,3,,,,,56,
,,,,,,,,1,1,,,,,22,
,,,,,,,,6,6,,,,,41,
,,,,,,,,1,1,,,,,16,
,,,,,,,,3,3,2,2,,,113,
,,,,,,,,,,,,,,15,
,,,,,,,,7,7,5,5,,,160,
,,,,,,,,2,2,3,3,,,38,
,,,,,,,4,27,31,19,19,,,743,
,,,,,,,,1,1,1,1,,,192,
,,,,,,,,12,12,9,9,,,51,
,,,,,,,3,4,7,,,,,24,
,,,,,,,,3,3,1,1,,,12,
,,,,,,,1,,1,,,,,1,
,,,,,,,4,20,24,11,11,,,280,
,,,,,,,,,,,,,,261,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,,2,2,1,1,34,34,264,
,,,,,,,,,,,,,,372,
,,,,,,,,,,,,,,372,
,,,,,,,2,,2,,,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,1,,1,,,,,1,
,,,,,,,3,3,6,,,,,6,
,,,,,,,48,228,276,151,151,34,34,"3,825",
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,
