"Fall 2003
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture    ARCH COSC LAUP
Subtotal
Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
709
1440
1230
366
496
226
120
85
197
194
228
231
313
262
588
6685
833
685
265
1783
759
2246
715
388
423
724
5255
152
497
365
1600
2332
4946
582
350
609
275
1154
1382
1381
986
466
1405
282
398
9270
156
156
200
13
207
209
74
703",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,215,366,,4,13,18,2,2,1,2,26,59,1,,258,451,,
,594,666,17,34,37,50,3,7,5,6,5,4,6,6,667,773,,
,727,345,3,5,67,21,8,4,5,,21,15,4,5,835,395,,
,42,261,4,1,6,13,,3,,1,11,21,,3,63,303,,
,174,138,12,2,24,25,17,21,,1,41,36,,5,268,228,,
,51,97,5,17,15,26,5,1,3,2,1,,1,2,81,145,,
,34,47,2,,7,9,3,3,,,7,6,1,1,54,66,,
,8,57,,,1,4,,,,1,1,10,2,1,12,73,,
,99,65,1,1,4,1,1,,,,8,14,2,1,115,82,,
,67,53,6,3,16,16,3,4,,1,7,14,2,2,101,93,,
,63,111,1,1,6,16,1,2,1,,10,11,1,4,83,145,,
,47,152,,,1,5,2,,1,3,7,12,1,,59,172,,
,127,126,,,6,17,1,1,,4,20,9,1,1,155,158,,
,22,177,,4,1,3,,,,1,17,33,1,3,41,221,,
,202,289,5,,21,27,3,3,1,2,13,11,3,8,248,340,,
,"2,472","2,950",56,72,225,251,49,51,17,24,195,255,26,42,"3,040","3,645",,
,255,334,3,6,24,42,15,11,1,3,58,72,5,4,361,472,,
,63,486,2,5,12,45,4,6,,2,15,41,,4,96,589,,
,68,93,1,3,10,8,3,2,,2,32,37,3,3,117,148,,
,386,913,6,14,46,95,22,19,1,7,105,150,8,11,574,"1,209",,
,378,274,14,,24,12,18,11,,1,17,6,3,1,454,305,,
,"1,049",877,24,17,68,60,39,39,3,6,8,45,2,9,"1,193","1,053",,
,210,405,4,3,9,25,9,12,,3,8,17,2,8,242,473,,
,86,174,6,5,9,10,12,6,1,2,24,47,2,4,140,248,,
,164,179,5,1,22,16,7,5,1,2,9,8,2,2,210,213,,
,444,181,3,4,29,19,4,6,3,,8,14,6,3,497,227,,
,"2,331","2,090",56,30,161,142,89,79,8,14,74,137,17,27,"2,736","2,519",,
,75,42,3,4,11,9,1,6,,,,,,1,90,62,,
,204,134,33,15,44,26,2,3,2,,20,6,4,4,309,188,,
,206,47,17,3,47,9,2,,,,27,6,1,,300,65,,
,839,532,28,15,63,57,10,13,4,2,6,17,5,9,955,645,,
,"1,937",94,53,13,148,11,16,4,17,,30,2,7,,"2,208",124,,
,"3,261",849,134,50,313,112,31,26,23,2,83,31,17,14,"3,862","1,084",,
,71,348,3,4,15,44,5,11,,1,5,71,,4,99,483,,
,109,111,7,4,13,14,13,20,1,2,15,37,2,2,160,190,,
,121,271,8,4,26,24,12,17,,,34,86,2,4,203,406,,
,30,119,12,4,29,46,3,7,,1,,20,,4,74,201,,
,81,632,8,18,17,57,14,51,,,72,193,1,10,193,961,,
,197,746,6,17,22,93,10,26,,2,43,209,3,8,281,"1,101",,
,57,680,11,23,11,81,23,90,,4,63,331,1,6,166,"1,215",,
,120,671,11,18,20,72,5,42,,3,1,15,1,7,158,828,,
,61,100,15,7,14,27,12,11,,,27,190,1,1,130,336,,
,115,832,5,10,7,76,3,28,,5,13,299,2,10,145,"1,260",,
,44,133,3,4,8,20,5,10,,1,12,34,1,7,73,209,,
,52,148,4,1,7,24,,10,,2,28,118,,4,91,307,,
,"1,058","4,791",93,114,189,578,105,323,1,21,313,"1,603",14,67,"1,773","7,497",,
,53,73,2,1,6,6,2,2,,1,3,5,2,,68,88,,
,53,73,2,1,6,6,2,2,,1,3,5,2,,68,88,,
,63,97,1,2,4,6,1,1,,,7,15,1,2,77,123,,
,6,3,,,2,1,1,,,,,,,,9,4,,
,61,106,2,2,5,12,,1,,1,4,11,,2,72,135,,
,52,101,,1,4,1,2,,,1,11,32,3,1,72,137,,
,22,24,,,1,,,1,,,12,14,,,35,39,,
,204,331,3,5,16,20,4,3,,2,34,72,4,5,265,438,,
"Prepared by OISP, 08 Mar 04",,,,,,,,,,,,,,,,,,
