Texas A&M University,,,,,
Office of Institutional Studies and Planning,,,,,
Demographic Summary,,,,,
for the Corps of Cadets Spring 2007,,,,,
Enrollment Profile – Spring 2007 Official Certified 12th Class Day Data,,,,,
Spring 2007,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"40,303","2,071","42,374",
Gender,Female,"19,800",227,"20,027",
,Male,"20,503","1,844","22,347",
Ethnicity,White,"29,423","1,660","31,083",
,Black,"1,218",48,"1,266",
,Hispanic,"4,362",278,"4,640",
,Asian,"1,551",58,"1,609",
,American Indian,204,12,216,
,International,"3,374",9,"3,383",
,Unknown/Other,171,6,177,
TAMU Age,<18,4,,4,
Categories,18-21,"18,596","1,158","19,754",
,22-25,"15,000",850,"15,850",
,26-30,"3,511",57,"3,568",
,31-39,"2,227",4,"2,231",
,40+,965,2,967,
College,Agriculture,"5,779",362,"6,141",
,Architecture,"1,682",96,"1,778",
,Business Admin,"4,533",128,"4,661",
,Education,"5,019",122,"5,141",
,Engineering,"8,208",477,"8,685",
,G. Bush School of Govt,206,6,212,
,Geosciences,674,49,723,
,Liberal Arts,"6,056",452,"6,508",
,Science,"2,663",73,"2,736",
,Veterinary Medicine,"2,223",40,"2,263",
,General Studies,"2,904",265,"3,169",
,Other - Special Populations,356,1,357,
Enrollment,1st Time in College,87,,87,
Status,1st Time PB,103,3,106,
,1st Time Graduate,421,5,426,
,1st Time Transfer,734,9,743,
,Readmitted,226,7,233,
,Continuing,"38,732","2,047","40,779",
Tuition,Resident Tuition,"34,353","1,779","36,132",
Status,Non-Resident Tuition,"1,599",13,"1,612",
,Tuition Exemption/Waiver,"4,351",279,"4,630",
Residency,Texas Resident,"34,840","1,800","36,640",
Status,"Non-TX, US Resident","2,062",262,"2,324",
,"Non-TX, Non-US Resident","3,401",9,"3,410",
SCH,< 6 SCH,"2,139",43,"2,182",
Categories,6-8 SCH,"1,842",85,"1,927",
,9-11 SCH,"6,766",81,"6,847",
,12-14 SCH,"15,662",775,"16,437",
,15-17 SCH,"12,328",938,"13,266",
,>17 SCH,"1,566",149,"1,715",
Ft/Pt:,Less Than Half Time,"1,663",35,"1,698",
TAMU,Half-Time,"1,539",71,"1,610",
Status,Three-Quarter Time,"1,726",57,"1,783",
,Full-Time,"35,375","1,908","37,283",
"Prepared by OISP, 12 Apr 07",,,,,
