Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education          CPSY
EDAD EDCI EDHL EDIS EDKI EDSM EDTC EHRD EPSY HEED HLTH INST ISNC KINE PHED SPMT SPSY TECR",,"174
685
691
292
167
1,035
393
258
203
16","-27.2%
-7.9%
4.4%
18.2%
3.1%
-7.6%
11.3%
-3.7%
57.4%
-44.8%","5
74
210
16
72
67
13
70
3
4","-28.6%
-12.9%
0.5%
-36.0%
4.3%
-6.9%
62.5%
29.6%
50.0%
-60.0%","32
210
180
95
82
16
32
3
43","14.3%
1.0%
1.7%
-11.2%
-5.7%
-27.3%
6.7%
-40.0%
19.4%",,,"37
284
390
174
685
691
292
16
167
149
29
167
1,035
393
360
6
203
47
16","5.7%
-3.1%
1.0%
-27.2%
-7.9%
4.4%
18.2%
-36.0%
-5.1%
-6.3%
-3.3%
3.1%
-7.6%
11.3%
2.3%
-14.3%
57.4%
2.2%
-44.8%",
,Subtotal,"3,914",-1.0%,534,-1.3%,693,-1.0%,,,"5,141",-1.0%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
