Country,Undergraduate,Masters,PhD,Professional,Total Students
Poland,2,,3,,5
Portugal,2,2,1,,5
Qatar,2,1,,,3
Romania,,3,6,,9
Russia,2,8,15,,25
Rwanda,,,2,,2
Saudi Arabia,13,7,9,,29
Serbia,,5,4,,9
Singapore,12,3,1,,16
Slovakia,1,,,,1
Slovenia,1,,,,1
South Africa,6,,2,,8
Spain,6,3,,,9
Sri Lanka (Ceylon),4,7,5,,16
Sudan,1,,1,,2
Sweden,2,,2,,4
Switzerland,2,,1,,3
Syria,,1,1,,2
Taiwan,3,59,103,,165
Tanzania,,,1,,1
Thailand,2,10,21,,33
Togo,,1,,,1
Trinidad & Tobago,,2,2,,4
Tunisia,2,2,,,4
Turkey,,25,57,,82
Turkmenistan,3,,,,3
Uganda,,1,2,,3
Ukraine,,2,9,,11
United Arab Emirates,1,2,2,,5
United Kingdom,9,,3,,12
United States,"33,494","3,102","1,843",505,"38,944"
Uruguay,4,1,3,,8
Uzbekistan,,,1,,1
Venezuela,9,11,11,,31
Viet Nam Socialist Republic,8,7,9,,24
Zambia,2,1,,,3
Zimbabwe  (Rhodesia),1,,4,,5
