"Spring 2007
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies       GEST
Subtotal Other - Special        CLMD Populations             COFD
MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,146,-5.8%,3,200.0%,14,-12.5%,3,-40.0%,,,,25,19.0%,,2,-33.3%,193,-4.0%,
,45,21.6%,,,4,-20.0%,2,-33.3%,,,,,,,,,51,13.3%,
,156,1.3%,2,-60.0%,11,-15.4%,8,166.7%,,3,0.0%,23,21.1%,,2,0.0%,205,3.0%,
,151,15.3%,,,12,0.0%,2,-33.3%,,2,0.0%,40,-11.1%,,1,-50.0%,208,6.7%,
,37,-9.8%,,,4,100.0%,1,0.0%,,,,24,26.3%,,,,66,4.8%,
,535,3.3%,5,-16.7%,45,-6.3%,16,6.7%,,5,0.0%,112,7.7%,,5,-28.6%,723,2.8%,
,178,-3.3%,2,100.0%,23,43.8%,8,60.0%,,1,100.0%,17,0.0%,,4,0.0%,233,2.6%,
,345,5.2%,10,-33.3%,85,0.0%,15,-16.7%,,4,0.0%,6,100.0%,,2,-33.3%,467,2.4%,
,845,7.0%,17,0.0%,83,6.4%,10,-9.1%,,6,200.0%,10,0.0%,,6,0.0%,977,6.9%,
,367,-7.3%,9,0.0%,60,5.3%,29,0.0%,,2,100.0%,94,9.3%,,3,0.0%,564,-2.8%,
,648,-3.3%,38,35.7%,62,12.7%,22,46.7%,,4,-33.3%,29,20.8%,,1,-66.7%,804,0.4%,
,20,0.0%,1,100.0%,1,-50.0%,2,0.0%,,2,100.0%,,,,1,0.0%,27,8.0%,
,59,-22.4%,,,48,-7.7%,1,0.0%,,,,4,100.0%,,,,112,-14.5%,
,625,-0.8%,15,0.0%,66,4.8%,8,-11.1%,,2,-50.0%,3,-25.0%,,6,-33.3%,725,-1.2%,
,103,3.0%,1,-66.7%,13,44.4%,5,66.7%,,1,100.0%,2,-50.0%,,2,-33.3%,127,4.1%,
,709,-9.6%,37,37.0%,134,9.8%,25,8.7%,,1,-66.7%,16,0.0%,,4,0.0%,926,-5.4%,
,55,-1.8%,7,75.0%,13,-7.1%,1,0.0%,,,,,,,,,76,1.3%,
,806,-11.0%,47,9.3%,157,-5.4%,36,2.9%,,7,40.0%,9,-18.2%,,3,0.0%,"1,065",-8.9%,
,279,-6.4%,31,3.3%,67,1.5%,13,-27.8%,,2,-33.3%,11,0.0%,,2,0.0%,405,-5.4%,
,"5,039",-3.8%,215,12.0%,812,3.4%,175,2.9%,,32,18.5%,201,6.9%,,34,-17.1%,"6,508",-2.0%,
,"1,056",6.7%,57,18.8%,209,21.5%,180,24.1%,,8,14.3%,45,15.4%,,2,100.0%,"1,557",11.1%,
,284,-1.4%,17,-5.6%,53,-14.5%,30,-9.1%,,3,0.0%,101,-1.0%,,3,-25.0%,491,-3.7%,
,250,-6.7%,6,50.0%,29,-17.1%,9,-43.8%,,2,100.0%,48,9.1%,,3,-25.0%,347,-6.5%,
,119,4.4%,2,-50.0%,22,10.0%,16,60.0%,,3,50.0%,86,-4.4%,,1,0.0%,249,3.3%,
,31,47.6%,1,100.0%,1,0.0%,5,66.7%,,,,53,26.2%,,1,0.0%,92,35.3%,
,"1,740",3.5%,83,12.2%,314,8.3%,240,15.9%,,16,33.3%,333,5.0%,,10,-9.1%,"2,736",5.6%,
,"1,609",-6.5%,44,12.8%,291,11.5%,169,5.0%,,12,33.3%,3,-62.5%,,8,-11.1%,"2,136",-3.3%,
,25,4.2%,,,0,-100.0%,3,0.0%,,1,0.0%,9,28.6%,,,,38,5.6%,
,4,0.0%,,,1,0.0%,,,,,,,,,,,5,0.0%,
,1,0.0%,,,,,0,-100.0%,,,,1,0.0%,,,,2,-33.3%,
,32,-13.5%,3,50.0%,7,40.0%,1,0.0%,,1,100.0%,18,5.9%,,1,-50.0%,63,-1.6%,
,7,40.0%,1,100.0%,0,-100.0%,1,0.0%,,,,10,42.9%,,,,19,35.7%,
,"1,678",-6.4%,48,17.1%,299,11.2%,174,4.2%,,14,40.0%,41,2.5%,,9,-18.2%,"2,263",-2.9%,
,"2,386",-2.6%,141,25.9%,453,-5.2%,139,14.9%,,24,0.0%,20,17.6%,,6,0.0%,"3,169",-1.2%,
