Spring 2007,,Students,,
,,Enrolled,,
INSTITUTION,SAM HOUSTON STATE UNIVERSITY,10,,
TEXAS STATE UNIVERSITY,,6,,
,TEXAS TECH UNIVERSITY,6,,
UNIV OF HOUSTON-UNIV PARK,,10,,
,UNIV OF TEXAS-SAN ANTONIO,8,,
UNIVERSITY OF TEXAS-AUSTIN,,8,,
"'Prepared by OISP, 07.Apr.07'.",,,,
,,,,
