"Spring 2007
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal
General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
3
1
1
3
8
4
10
10
1
5
2
2
1
25
3
17
1
81
66
8
10
1
85
70
70
214
214
873","Sophomore
2
1
3
3
16
28
8
14
3
20
1
18
3
36
8
158
43
5
4
6
58
63
63
212
212
1,011","Junior
6
1
2
1
10
3
28
17
29
20
1
11
21
2
40
4
45
19
240
58
11
8
5
82
58
58
27
27
1,041","Senior
3
2
3
4
12
5
31
21
18
19
18
20
6
43
3
45
22
251
39
8
4
2
53
66
66
1,127","PB
8","Total
12
4
8
9
33
15
85
76
56
58
1
34
63
10
126
13
143
50
730
206
32
26
14
278
257
257
453
453
4,060",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,22,2,2,2,2,34,34,14,
,,,,,,,,,,,,,,4,
,,,,,,,,3,3,,,,,11,
,,,,,,,,1,1,,,,,12,
,,,,,,,,4,4,,,,,4,
,,,,,,,,10,10,2,2,,,45,
,,,,,,,,4,4,4,4,,,23,
,,,,,,,,,,,,,,85,
,,,,,,,,4,4,3,3,,,83,
,,,,,,,,3,3,1,1,,,60,
,,,,,,,,2,2,2,2,,,62,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,11,11,,,48,
,,,,,,,,2,2,1,1,,,66,
,,,,,,,,2,2,1,1,,,13,
,,,,,,,,2,2,6,6,,,134,
,,,,,,,,,,,,,,13,
,,,,,,,,6,6,8,8,,,157,
,,,,,,,,7,7,10,10,,,67,
,,,,,,,,35,35,47,47,,,812,
,,,,,,,,3,3,,,,,209,
,,,,,,,,6,6,15,15,,,53,
,,,,,,,,2,2,1,1,,,29,
,,,,,,,,4,4,4,4,,,22,
,,,,,,,,,,1,1,,,1,
,,,,,,,,15,15,21,21,,,314,
,,,,,,,,,,,,,,291,
,,,,,,,,1,1,,,,,1,
,,,,,,,,4,4,3,3,,,7,
,,,,,,,,5,5,3,3,34,34,299,
,,,,,,,,,,,,,,453,
,,,,,,,,,,,,,,453,
,,,,,,,,8,8,4,4,,,12,
,,,,,,,,8,8,4,4,,,12,
,,,,,,,,281,303,243,243,34,34,"4,640",
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,
