Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Spring 2007,,,,,,,,,,,,
Enrollment Profile – Spring 2007 Official Certified 12th Class Day Data,,,,,,,,,,,,
Spring 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"12,964",-2.6%,"1,160",3.2%,630,2.6%,329,-1.5%,"15,083",-2.0%,
,Black,536,10.3%,71,-2.7%,107,13.8%,0,-100.0%,714,9.2%,
,Hispanic,"1,987",9.3%,143,-0.7%,136,11.5%,26,18.2%,"2,292",8.8%,
,Asian,617,13.2%,65,25.0%,34,-5.6%,12,0.0%,728,12.9%,
,American Indian,90,21.6%,7,-12.5%,10,66.7%,1,0.0%,108,21.3%,
,International,165,9.3%,405,29.0%,462,6.7%,,,"1,032",14.9%,
,Unknown/Other,42,-2.3%,8,-61.9%,15,0.0%,5,0.0%,70,-16.7%,
,Subtotal,"16,401",-0.2%,"1,859",7.1%,"1,394",5.6%,373,-0.5%,"20,027",0.8%,
Male,White,"13,866",1.9%,"1,334",-2.8%,683,0.1%,117,-0.8%,"16,000",1.4%,
,Black,438,6.6%,65,-4.4%,47,11.9%,2,-33.3%,552,5.3%,
,Hispanic,"2,073",9.4%,160,1.3%,107,9.2%,8,0.0%,"2,348",8.8%,
,Asian,747,12.8%,85,16.4%,45,-2.2%,4,0.0%,881,12.2%,
,American Indian,94,-5.1%,7,75.0%,7,40.0%,,,108,0.0%,
,International,320,-4.5%,876,12.3%,"1,155",1.7%,,,"2,351",4.4%,
,Unknown/Other,56,-5.1%,23,-41.0%,27,-10.0%,1,0.0%,107,-17.1%,
,Subtotal,"17,594",3.1%,"2,550",2.2%,"2,071",1.6%,132,-1.5%,"22,347",2.8%,
Grand Total,,"33,995",1.5%,"4,409",4.2%,"3,465",3.2%,505,-0.8%,"42,374",1.9%,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,
