Top 10,,,,,,,,,
Spring 2007 Feeder Patterns Texas A&M University Campus,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,38944,,,,91.9%,,
India,,,818,,,,1.9%,,
"China, People's Rep of",,,601,,,,1.4%,,
"Korea, Republic of",,,497,,,,1.2%,,
Taiwan,,,165,,,,0.4%,,
Mexico,,,110,,,,0.3%,,
Turkey,,,82,,,,0.2%,,
Colombia,,,62,,,,0.1%,,
Nigeria,,,59,,,,0.1%,,
Indonesia,,,51,,,,0.1%,,
State,Students  % Total,,,,,,,,
Texas,36640,,,86.5%,,,,,
Louisiana,216,,,0.5%,,,,,
California,190,,,0.4%,,,,,
Florida,111,,,0.3%,,,,,
Oklahoma,104,,,0.2%,,,,,
Virginia,95,,,0.2%,,,,,
Illinois,94,,,0.2%,,,,,
New Mexico,90,,,0.2%,,,,,
Pennsylvania,80,,,0.2%,,,,,
Colorado,76,,,0.2%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,6617,,,15.6%,,,,
Brazos,,2771,,,6.5%,,,,
Dallas,,2226,,,5.3%,,,,
Tarrant,,2084,,,4.9%,,,,
Bexar,,1991,,,4.7%,,,,
Fort Bend,,1593,,,3.8%,,,,
Travis,,1172,,,2.8%,,,,
Montgomery,,1142,,,2.7%,,,,
Collin,,1042,,,2.5%,,,,
Denton,,782,,,1.8%,,,,
