"Spring 2007
Agriculture             AGEC ALEC ANSC BAEN BCBP CLAG ENTO FRSC HRSC NFSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
AGEC CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering            AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                   Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
633
1,002
835
311
419
358
157
76
171
568
203
158
189
373
167
521
6,141
782
715
281
1,778
788
1
1,808
766
288
393
617
4,661
393
451
506
1,922
1,869
5,141
643
407
707
15
843
1,261
1,136
882
501
1,357
278
655
8,685
212
212",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,151,378,1,2,6,25,1,1,2,1,20,44,1,,182,451,,
,354,477,19,53,34,40,1,7,4,4,2,6,1,,415,587,,
,453,273,8,3,50,19,3,2,3,4,7,8,2,,526,309,,
,29,212,2,5,5,13,1,5,1,2,9,25,,2,47,264,,
,142,102,7,3,28,20,24,23,1,1,34,27,2,5,238,181,,
,106,144,15,15,25,31,4,9,1,,3,3,,2,154,204,,
,54,45,2,1,18,15,3,2,1,,5,10,1,,84,73,,
,7,52,2,1,4,2,,1,,,2,4,1,,16,60,,
,81,53,,1,5,8,1,2,,1,9,10,,,96,75,,
,374,66,9,3,60,15,22,7,1,,7,1,3,,476,92,,
,66,61,11,3,18,21,5,5,1,,3,9,,,104,99,,
,49,78,1,1,5,8,1,,2,,4,7,,2,62,96,,
,42,121,,,7,7,1,1,,,4,5,,1,54,135,,
,143,145,5,4,17,14,1,2,3,3,26,7,3,,198,175,,
,19,116,,2,4,3,2,1,,2,7,9,1,1,33,134,,
,170,265,3,1,26,29,2,,2,5,11,5,1,1,215,306,,
,"2,240","2,588",85,98,312,270,72,68,22,23,153,180,16,14,"2,900","3,241",,
,276,282,7,8,37,50,21,19,2,1,35,39,3,2,381,401,,
,51,511,2,8,10,59,2,11,1,3,17,38,,2,83,632,,
,61,114,1,5,10,18,3,3,,2,23,37,1,3,99,182,,
,388,907,10,21,57,127,26,33,3,6,75,114,4,7,563,"1,215",,
,381,275,7,3,30,27,17,18,1,4,14,6,2,3,452,336,,
,,1,,,,,,,,,,,,,,1,,
,730,692,32,23,113,108,36,31,4,6,7,19,3,4,925,883,,
,256,392,3,6,19,28,9,25,2,3,6,17,,,295,471,,
,56,115,2,4,5,10,3,8,,,29,54,,2,95,193,,
,151,158,4,2,30,15,13,7,1,,6,5,,1,205,188,,
,400,132,6,,33,14,11,2,1,,8,9,,1,459,158,,
,"1,974","1,765",54,38,230,202,89,91,9,13,70,110,5,11,"2,431","2,230",,
,188,113,11,8,27,29,4,7,1,2,,1,1,1,232,161,,
,181,103,37,15,50,27,1,3,2,,21,7,3,1,295,156,,
,281,31,23,5,101,14,9,1,1,1,28,9,2,,445,61,,
,939,658,41,30,91,94,14,14,3,2,11,18,1,6,"1,100",822,,
,"1,489",106,48,12,118,17,25,3,4,1,31,9,5,1,"1,720",149,,
,"3,078","1,011",160,70,387,181,53,28,11,6,91,44,12,9,"3,792","1,349",,
,55,391,2,11,17,78,4,16,,,7,61,,1,85,558,,
,113,136,9,5,20,21,21,28,1,1,11,38,,3,175,232,,
,126,299,9,12,41,42,18,16,2,3,39,97,,3,235,472,,
,1,5,2,,,,,,,,,7,,,3,12,,
,35,457,4,25,10,66,6,35,,4,39,159,,3,94,749,,
,172,683,7,8,31,110,4,36,1,5,36,168,,,251,"1,010",,
,41,488,12,33,17,100,10,65,,,56,312,,2,136,"1,000",,
,95,625,10,13,21,68,6,27,1,3,2,9,,2,135,747,,
,60,208,8,6,16,54,8,9,,,26,103,3,,121,380,,
,107,791,10,17,18,110,6,40,,7,29,215,,7,170,"1,187",,
,37,164,1,7,9,18,3,10,1,,6,19,1,2,58,220,,
,65,304,2,12,9,43,5,20,,1,31,159,,4,112,543,,
,907,"4,551",76,149,209,710,91,302,6,24,282,"1,347",4,27,"1,575","7,110",,
,71,95,4,2,8,12,2,2,,2,4,9,,1,89,123,,
,71,95,4,2,8,12,2,2,,2,4,9,,1,89,123,,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,,,,
