Top 10,,,,,,,,
Spring 2007 Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,276,,,64.8%,,
India,,,46,,,10.8%,,
"China, People's Rep of",,,24,,,5.6%,,
"Korea, Republic of",,,11,,,2.6%,,
Colombia,,,7,,,1.6%,,
Taiwan,,,7,,,1.6%,,
Bangladesh,,,5,,,1.2%,,
Nigeria,,,5,,,1.2%,,
Pakistan,,,5,,,1.2%,,
Iran,,,4,,,0.9%,,
State,Students  % Total,,,,,,,
Texas,260,,,61.0%,,,,
Arkansas,2,,,0.5%,,,,
Tennessee,2,,,0.5%,,,,
Arizona,1,,,0.2%,,,,
Ohio,1,,,0.2%,,,,
New York,1,,,0.2%,,,,
Mississippi,1,,,0.2%,,,,
Michigan,1,,,0.2%,,,,
Louisiana,1,,,0.2%,,,,
Idaho,1,,,0.2%,,,,
Texas County   Students  % Total,,,,,,,,
Brazos,,59,,,13.8%,,,
Harris,,37,,,8.7%,,,
Fort Bend,,13,,,3.1%,,,
Tarrant,,11,,,2.6%,,,
Travis,,9,,,2.1%,,,
Bexar,,7,,,1.6%,,,
Collin,,7,,,1.6%,,,
Dallas,,7,,,1.6%,,,
Denton,,6,,,1.4%,,,
Galveston,,6,,,1.4%,,,
