Top 10,,,,,,,,,
Spring 2007 Feeder Patterns Undergraduate Transfer,,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,714,,,,96.1%,,
Angola,,,3,,,,0.4%,,
Mexico,,,3,,,,0.4%,,
"Korea, Republic of",,,3,,,,0.4%,,
Japan,,,2,,,,0.3%,,
Indonesia,,,2,,,,0.3%,,
India,,,2,,,,0.3%,,
Nepal,,,2,,,,0.3%,,
Pakistan,,,2,,,,0.1%,,
Malaysia,,,1,,,,0.0%,,
State,Students  % Total,,,,,,,,
Texas,695,,,93.5%,,,,,
California,6,,,0.8%,,,,,
New York,1,,,0.1%,,,,,
New Mexico,1,,,0.1%,,,,,
Missouri,1,,,0.1%,,,,,
Louisiana,1,,,0.1%,,,,,
Illinois,1,,,0.1%,,,,,
Florida,1,,,0.1%,,,,,
Colorado,1,,,0.1%,,,,,
Arkansas,1,,,0.1%,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,133,,,17.9%,,,,
Brazos,,113,,,15.2%,,,,
Dallas,,33,,,4.4%,,,,
Montgomery,,31,,,4.2%,,,,
Tarrant,,31,,,4.2%,,,,
Bexar,,30,,,4.0%,,,,
Fort Bend,,27,,,3.6%,,,,
Galveston,,16,,,2.2%,,,,
Williamson,,16,,,2.2%,,,,
Travis,,15,,,2.0%,,,,
