Spring 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,39,34,2,2,5,4,2,3,1,1,28,31,2,1,77,75,152,
,COMG,2,16,,2,,3,1,1,,,16,38,,,19,60,79,
,COSC,25,302,,3,4,23,,2,,,,,,1,29,332,361,
,COSL,24,193,2,3,6,33,1,8,1,2,1,,,1,35,240,275,
,ENDL,126,131,3,3,17,30,9,6,,1,2,2,,,159,173,332,
,ENDS,99,91,1,3,13,14,8,6,1,,3,1,1,,126,115,241,
,LAND,31,56,,1,6,8,1,1,,1,6,1,,1,44,69,113,
,LANL,18,24,,,2,9,1,1,,,1,,,,22,34,56,
,LDEV,4,15,,1,,,,1,,1,2,5,,2,6,25,31,
,URPL,5,11,,3,1,1,,,,,5,8,1,,12,23,35,
,URSC,3,8,1,,1,,1,,,,9,23,,,15,31,46,
,VIZA,12,26,1,,2,2,2,4,,,2,5,,1,19,38,57,
,Subtotal,388,907,10,21,57,127,26,33,3,6,75,114,4,7,563,"1,215",1778,
Business,ACCT,381,275,7,3,30,27,17,18,1,4,14,6,2,3,452,336,788,
Admin,AGBU,4,6,,,,,,,,,,,,,4,6,10,
,BUAD,716,629,30,21,108,97,35,29,4,5,6,16,2,1,901,798,1699,
,BUAG,1,6,,,,3,,,,1,1,,,,2,10,12,
,EMBA,9,52,2,2,5,8,1,2,,,,3,1,3,18,70,88,
,FINC,244,354,3,6,18,22,9,25,2,2,5,17,,,281,426,707,
,INFO,31,85,2,4,2,10,2,4,,,2,2,,2,39,107,146,
,MGMT,151,158,4,2,30,15,13,7,1,,6,5,,1,205,188,393,
,MISY,25,30,,,3,,1,4,,,27,52,,,56,86,142,
,MKTG,400,132,6,,33,14,11,2,1,,8,9,,1,459,158,617,
,MLER,12,38,,,1,6,,,,1,1,,,,14,45,59,
,Subtotal,"1,974","1,765",54,38,230,202,89,91,9,13,70,110,5,11,"2,431","2,230",4661,
Education,CPSY,12,8,4,3,4,1,1,1,,,2,,1,,24,13,37,
,EDAD,108,79,22,11,32,18,1,,2,,6,2,2,1,173,111,284,
,EDCI,208,51,30,6,34,9,8,1,1,1,29,9,2,1,312,78,390,
,EDHL,121,13,7,2,17,5,2,2,3,,2,,,,152,22,174,
,EDIS,562,21,16,5,56,8,11,,1,,2,,3,,651,34,685,
,EDKI,367,215,12,11,30,39,6,7,,1,,,1,2,416,275,691,
,EDSM,74,176,4,10,9,16,,2,,,1,,,,88,204,292,
,EDTC,6,4,,,1,,,,,,4,1,,,11,5,16,
,EHRD,73,24,15,4,18,9,,3,,,15,5,1,,122,45,167,
,EPSY,87,10,5,1,15,3,,,,1,19,8,,,126,23,149,
,HEED,11,4,5,,1,,2,1,,,3,2,,,22,7,29,
,HLTH,121,22,4,,16,1,1,1,,,,,,1,142,25,167,
,INST,864,37,8,2,100,6,10,2,3,,2,,1,,988,47,1035,
,ISNC,188,113,11,8,27,29,4,7,1,2,,1,1,1,232,161,393,
,KINE,178,114,8,4,15,18,1,1,,,5,14,,2,207,153,360,
,PHED,2,4,,,,,,,,,,,,,2,4,6,
,SPMT,65,110,1,3,3,15,2,,,1,,2,,1,71,132,203,
,SPSY,19,5,7,,8,3,4,,,,1,,,,39,8,47,
,TECR,12,1,1,,1,1,,,,,,,,,14,2,16,
,Subtotal,"3,078","1,011",160,70,387,181,53,28,11,6,91,44,12,9,"3,792","1,349",5141,
"Prepared by OISP, 12 Apr 07",,,,,,,,,,,,,,,,,,,
